Season,League,Team,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
2017-2018,EPL,Leicester City,Vicente Iborra,es ESP,MF,29,15.7,22,1.4,19,0,1,2,0,0,1,0.06,1,0,0,0,0,0
2017-2018,EPL,Leicester City,Shinji Okazaki,jp JPN,"FW,MF",31,14.7,35,2.38,25,0,1,3,4,2,5,0.34,4,0,0,1,0,0
2017-2018,EPL,Leicester City,Matty James,eng ENG,MF,26,11,10,0.91,7,0,1,2,0,0,1,0.09,1,0,0,0,0,0
2017-2018,EPL,Leicester City,Adrien Silva,pt POR,MF,28,8.5,18,2.13,14,2,0,0,0,2,1,0.12,1,0,0,0,0,0
2017-2018,EPL,Leicester City,Kelechi Iheanacho,ng NGA,"FW,MF",20,9.2,32,3.47,22,0,5,3,2,0,5,0.54,4,0,0,0,1,0
2017-2018,EPL,Leicester City,Aleksandar Dragović,at AUT,DF,26,8.5,3,0.35,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Leicester City,Daniel Amartey,gh GHA,DF,22,5.4,2,0.37,0,1,0,0,1,0,1,0.18,0,1,0,0,0,0
2017-2018,EPL,Leicester City,Fousseni Diabaté,ml MLI,"MF,FW",21,6.5,24,3.68,18,0,3,1,2,0,4,0.61,4,0,0,0,0,0
2017-2018,EPL,Leicester City,Andy King,wls WAL,MF,28,6,8,1.34,6,0,0,0,2,0,1,0.17,0,0,0,0,1,0
2017-2018,EPL,Leicester City,Hamza Choudhury,eng ENG,"MF,DF",19,4.2,2,0.48,1,1,0,0,0,0,1,0.24,1,0,0,0,0,0
2017-2018,EPL,Leicester City,Ben Hamer,eng ENG,GK,29,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Leicester City,Islam Slimani,dz ALG,FW,29,2.8,9,3.25,6,1,2,0,0,0,3,1.08,2,0,1,0,0,0
2017-2018,EPL,Leicester City,Eldin Jakupović,ch SUI,GK,32,2,2,1,2,0,0,0,0,0,1,0.5,1,0,0,0,0,0
2017-2018,EPL,Leicester City,Yohan Benalouane,tn TUN,DF,30,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Leicester City,Leonardo Ulloa,ar ARG,FW,31,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Leicester City,Harvey Barnes,eng ENG,"MF,FW",19,0.1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Newcastle Utd,Jamaal Lascelles,eng ENG,DF,23,32.5,17,0.52,15,1,0,1,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Newcastle Utd,Matt Ritchie,sct SCO,"MF,FW",27,31.2,106,3.4,63,25,5,6,6,1,8,0.26,3,4,0,1,0,0
