Season,League,Team,Player,Nation,Pos,Age,90s,Passes_Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Completed,Offside_pass,Blocked
2017-2018',SerieA,Bologna,Wisdom Amey,it ITA,DF,15,0.8,29,25,4,4,0,0,0,0,0,20,0,0
2017-2018',SerieA,Spezia,Kelvin Amian,fr FRA,DF,23,29.4,1133,862,267,18,1,1,24,249,0,887,4,35
2017-2018',SerieA,Genoa,Nadiem Amiri,de GER,"MF,FW",24,7.6,299,255,41,13,2,0,20,2,12,222,3,3
2017-2018',Bundesliga,Leverkusen,Nadiem Amiri,de GER,"MF,FW",24,4.1,222,209,12,2,0,2,8,3,6,183,1,5
2017-2018',SerieA,Venezia,Ethan Ampadu,wls WAL,"MF,DF",20,25.4,1165,1037,123,41,4,10,20,80,0,867,5,26
2017-2018',SerieA,Fiorentina,Sofyan Amrabat,ma MAR,MF,24,10.5,716,685,31,31,1,9,6,0,0,645,0,8
2017-2018',EPL,Crystal Palace,Joachim Andersen,dk DEN,DF,25,32.4,2351,2252,95,86,3,32,8,5,0,1911,4,11
2017-2018',SerieA,Lazio,Felipe Anderson,br BRA,FW,28,32.1,1436,1342,90,6,5,6,86,32,13,1118,4,36
2017-2018',Bundesliga,Köln,Sebastian Andersson,se SWE,FW,30,14,234,227,7,0,0,1,9,1,0,147,0,10
2017-2018',LaLiga,Cádiz,Florin Andone,ro ROU,FW,28,2,38,32,6,0,0,0,0,0,0,25,0,1
2017-2018',Bundesliga,Arminia,Andrés Andrade Cedeño,pa PAN,DF,22,11.6,535,441,93,5,1,1,21,88,0,350,1,18
2017-2018',Ligue1,Lille,Benjamin André,fr FRA,MF,30,30.6,1766,1705,55,44,4,19,19,11,0,1404,6,33
2017-2018',Bundesliga,Hertha BSC,Fredrik André Bjørkan,no NOR,DF,22,3.9,166,131,35,3,1,0,5,32,0,133,0,5
2017-2018',LaLiga,Valencia,Marcos André,br BRA,"FW,MF",24,10.8,184,173,8,0,2,2,3,2,0,122,3,2
2017-2018',Bundesliga,Leverkusen,Robert Andrich,de GER,MF,26,20.2,1011,987,18,16,8,1,6,2,0,811,6,9
2017-2018',LaLiga,Osasuna,José Ángel,es ESP,DF,31,12,785,629,154,23,0,32,46,131,0,590,2,9
2017-2018',Bundesliga,RB Leipzig,Angeliño,es ESP,DF,24,25.5,1516,1201,304,47,0,6,187,205,52,1082,11,20
2017-2018',SerieA,Bologna,Ebenezer Annan,gh GHA,DF,18,0.3,11,8,3,0,0,0,1,3,0,4,0,0
2017-2018',Comp,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks
