year,hname,aname,hgoals,agoals,hPossesion,aPossesion,hshotsOnTarget,ashotsOnTarget,hshots,ashots,hyellowCards,ayellowCards,hredCards,aredCards,hfouls,afouls,hsaves,asaves
2003,Slovenia,Croatia,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0
2003,Norway,Spain,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2003,Turkey,Latvia,2,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2003,Netherlands,Scotland,6,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0
2003,Wales,Russia,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0
2004,Portugal,Greece,1,2,50,50,8,3,18,5,2,3,0,0,15,18,2,6
2004,Spain,Russia,1,0,61,39,8,5,16,8,3,5,0,1,10,19,5,9
2004,Switzerland,Croatia,0,0,41,59,6,7,10,18,3,5,1,0,22,15,9,5
2004,France,England,2,1,52,48,6,2,16,6,2,3,0,0,16,18,2,8
2004,Denmark,Italy,0,0,54,46,9,4,10,8,2,4,0,0,10,13,7,6
2004,Sweden,Bulgaria,5,0,46,54,9,2,15,11,2,4,0,0,20,19,3,5
2004,Czech Republic,Latvia,2,1,63,37,9,2,24,6,0,0,0,0,11,19,2,10
2004,Germany,Netherlands,1,1,47,53,6,8,14,16,2,2,0,0,13,18,8,4
2004,Greece,Spain,1,1,36,64,4,6,7,13,5,2,0,0,16,19,8,1
2004,Russia,Portugal,0,2,43,57,3,7,7,14,3,2,1,0,23,14,10,3
2004,England,Switzerland,3,0,49,51,5,4,10,11,1,2,0,1,17,18,2,5
2004,Croatia,France,2,2,45,55,4,7,8,14,4,2,0,0,20,14,7,7
2004,Bulgaria,Denmark,0,2,41,59,1,12,6,17,6,2,1,0,18,16,4,5
2004,Italy,Sweden,1,1,50,50,9,4,18,7,3,2,0,0,15,20,4,8
2004,Latvia,Germany,0,0,35,65,5,9,6,23,2,3,0,0,20,20,13,4
2004,Netherlands,Czech Republic,2,3,55,45,8,14,11,19,2,1,1,0,24,17,8,6
2004,Russia,Greece,2,1,34,66,9,6,19,12,6,2,0,0,18,13,7,10
2004,Spain,Portugal,0,1,45,55,3,9,10,18,3,2,0,0,25,21,8,1
2004,Croatia,England,2,4,44,56,11,13,14,16,1,0,0,0,16,14,9,7
2004,Switzerland,France,1,3,50,50,2,9,3,15,3,1,0,0,15,15,4,2
2004,Denmark,Sweden,2,2,49,51,6,7,12,12,0,2,0,0,15,15,4,4
2004,Italy,Bulgaria,2,1,58,42,11,6,20,9,1,4,0,0,15,19,4,8
2004,Germany,Czech Republic,1,2,48,52,12,5,16,7,3,1,0,0,19,18,5,15
2004,Netherlands,Latvia,3,0,66,34,17,3,30,5,0,1,0,0,13,18,2,20
2004,Portugal,England,2,2,59,41,18,8,37,14,3,3,0,0,16,23,7,12
2004,France,Greece,0,1,55,45,4,5,8,6,2,2,0,0,22,13,6,4
2004,Sweden,Netherlands,0,0,50,50,7,13,15,23,2,3,0,0,21,28,13,4
2004,Czech Republic,Denmark,3,0,46,54,8,6,14,12,3,3,0,0,21,17,7,4
2004,Portugal,Netherlands,2,1,46,54,10,2,13,8,3,2,0,0,18,20,6,7
2004,Greece,Czech Republic,1,0,50,50,6,6,9,16,3,3,0,0,15,23,6,7
2006,Estonia,North Macedonia,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2006,Faroe Islands,Georgia,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2006,Belgium,Kazakhstan,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2006,Northern Ireland,Iceland,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2006,Scotland,Faroe Islands,6,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0
2006,England,Andorra,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2006,Georgia,France,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2006,Belarus,Albania,2,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2006,Malta,Bosnia and Herzegovina,2,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2006,Hungary,Norway,1,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2006,Latvia,Sweden,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0
2006,Romania,Bulgaria,2,2,0,0,0,0,0,0,4,3,1,0,0,0,0,0
2006,Czech Republic,Wales,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2006,Moldova,Greece,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0
2006,Serbia,Azerbaijan,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2006,Slovakia,Cyprus,6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2006,Estonia,Israel,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2006,Luxembourg,Netherlands,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0
2006,Poland,Finland,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2006,Germany,Republic of Ireland,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
2006,Italy,Lithuania,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0
2006,Spain,Liechtenstein,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2006,Azerbaijan,Kazakhstan,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2006,Russia,Croatia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,Armenia,Belgium,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0
