Year,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
2016,Thiago Cionek,DF,pl Poland,29,1986,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Ciaran Clark,DF,ie Rep. of Ireland,26,1989,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Nathaniel Clyne,DF,eng England,24,1991,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Séamus Coleman,DF,ie Rep. of Ireland,27,1988,4,4,360,4,0,1,1,0,0,0,1,0,0,0.25,0.25,0,0.25
2016,James Collins,DF,wls Wales,32,1983,2,1,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Kingsley Coman,"MF,FW",fr France,19,1996,6,2,271,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Duje ?op,FW,hr Croatia,25,1990,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Vedran ?orluka,DF,hr Croatia,29,1986,4,4,389,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Thibaut Courtois,GK,be Belgium,23,1992,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Stuart Dallas,MF,nir Northern Ireland,24,1991,4,3,315,3.5,0,0,0,0,0,0,2,0,0,0,0,0,0
2016,Vladimír Darida,MF,cz Czechia,25,1990,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Matteo Darmian,MF,it Italy,26,1989,4,1,131,1.5,0,1,1,0,0,0,0,0,0,0.69,0.69,0,0.69
2016,Ben Davies,DF,wls Wales,22,1993,5,5,450,5,0,0,0,0,0,0,2,0,0,0,0,0,0
2016,Steven Davis,MF,nir Northern Ireland,31,1985,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Jón Daði Böðvarsson,FW,is Iceland,23,1992,5,5,361,4,1,1,2,1,0,0,1,0,0.25,0.25,0.5,0.25,0.5
2016,Kevin De Bruyne,MF,be Belgium,24,1991,5,5,450,5,0,2,2,0,0,0,0,0,0,0.4,0.4,0,0.4
2016,Daniele De Rossi,MF,it Italy,32,1983,3,3,202,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Mattia De Sciglio,MF,it Italy,23,1992,4,3,323,3.6,0,0,0,0,0,0,2,0,0,0,0,0,0
2016,Mousa Dembélé,MF,be Belgium,28,1987,1,1,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Jason Denayer,DF,be Belgium,20,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Eren Derdiyok,FW,ch Switzerland,27,1988,1,0,51,0.6,0,1,1,0,0,0,0,0,0,1.76,1.76,0,1.76
2016,Eric Dier,MF,eng England,22,1994,4,4,315,3.5,1,0,1,1,0,0,0,0,0.29,0,0.29,0.29,0.29
2016,Johan Djourou,DF,ch Switzerland,29,1987,4,4,390,4.3,0,1,1,0,0,0,1,0,0,0.23,0.23,0,0.23
2016,Bo?ek Do?kal,MF,cz Czechia,27,1988,1,1,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
