Season,League,Team,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,SP_Cmp,SP_Att,SP_Cmp%,MP_Cmp,MP_Att,MP_Cmp%,LP_Cmp,LP_Att,LP_Cmp%
2020-2021,EPL,Fulham,Joe Bryan,eng ENG,"DF,MF",26,7.4,298,430,69.3,4684,1996,160,188,85.1,112,147,76.2,18,62,29
2020-2021,EPL,Fulham,Tim Ream,us USA,DF,32,7,424,468,90.6,8479,3047,125,130,96.2,249,265,94,48,66,72.7
2020-2021,EPL,Fulham,Josh Onomah,eng ENG,MF,23,4.2,153,172,89,2365,566,78,87,89.7,56,60,93.3,11,13,84.6
2020-2021,EPL,Fulham,Denis Odoi,gh GHA,DF,32,3,156,190,82.1,2889,877,64,73,87.7,74,82,90.2,17,26,65.4
2020-2021,EPL,Fulham,Michael Hector,jm JAM,DF,28,2.9,148,187,79.1,3354,1366,37,40,92.5,82,89,92.1,29,56,51.8
2020-2021,EPL,Fulham,Fabio Carvalho,pt POR,"MF,FW",17,2.8,67,89,75.3,883,100,43,50,86,17,22,77.3,3,4,75
2020-2021,EPL,Fulham,Aboubakar Kamara,mr MTN,"FW,MF",25,3.5,86,127,67.7,1291,253,50,61,82,28,36,77.8,4,15,26.7
2020-2021,EPL,Fulham,Marek Rodák,sk SVK,GK,23,2,39,47,83,989,636,9,9,100,19,19,100,10,18,55.6
2020-2021,EPL,Fulham,Maxime Le Marchand,fr FRA,DF,30,1.4,78,85,91.8,1682,740,22,25,88,43,43,100,13,17,76.5
2020-2021,EPL,Fulham,Neeskens Kebano,cd COD,"FW,MF",28,1.3,32,43,74.4,373,90,25,25,100,6,15,40,0,0,
2020-2021,EPL,Fulham,Terence Kongolo,nl NED,DF,26,1,37,45,82.2,610,219,19,22,86.4,18,21,85.7,0,0,
2020-2021,EPL,Fulham,Tyrese Francois,au AUS,DF,20,0.2,14,15,93.3,251,101,6,7,85.7,7,7,100,1,1,100
2020-2021,EPL,West Brom,Sam Johnstone,eng ENG,GK,27,37,655,1297,50.5,24681,19644,52,53,98.1,217,225,96.4,386,1011,38.2
2020-2021,EPL,West Brom,Darnell Furlong,eng ENG,DF,24,32.6,682,1204,56.6,11908,5175,333,433,76.9,257,453,56.7,78,232,33.6
2020-2021,EPL,West Brom,Semi Ajayi,ng NGA,DF,26,30.9,719,999,72,13941,6401,264,316,83.5,374,460,81.3,76,188,40.4
2020-2021,EPL,West Brom,Matheus Pereira,pt POR,"MF,FW",24,28.6,790,1097,72,12365,4136,443,510,86.9,213,301,70.8,90,193,46.6
2020-2021,EPL,West Brom,Kyle Bartley,eng ENG,DF,29,28.7,647,842,76.8,12274,4688,223,266,83.8,345,412,83.7,64,131,48.9
2020-2021,EPL,West Brom,Conor Gallagher,eng ENG,MF,20,28.1,737,960,76.8,12114,2989,361,421,85.7,252,303,83.2,81,146,55.5
2020-2021,EPL,West Brom,Conor Townsend,eng ENG,DF,27,24.8,883,1196,73.8,15009,7163,389,451,86.3,390,503,77.5,78,181,43.1
2020-2021,EPL,West Brom,Dara O'Shea,ie IRL,DF,21,23.4,583,924,63.1,12060,6392,217,282,77,244,336,72.6,105,250,42
2020-2021,EPL,West Brom,Matt Phillips,sct SCO,MF,29,20.3,384,563,68.2,6033,1999,202,253,79.8,128,177,72.3,31,68,45.6
2020-2021,EPL,West Brom,Callum Robinson,ie IRL,"FW,MF",25,17.3,299,433,69.1,4262,971,170,204,83.3,84,121,69.4,23,45,51.1
2020-2021,EPL,West Brom,Romaine Sawyers,kn SKN,MF,28,16.5,616,729,84.5,10470,3057,279,310,90,261,293,89.1,53,78,67.9
2020-2021,EPL,West Brom,Okay Yokuşlu,tr TUR,MF,26,14.6,439,536,81.9,6882,2492,223,258,86.4,151,177,85.3,40,51,78.4
2020-2021,EPL,West Brom,Jake Livermore,eng ENG,MF,30,13.8,273,388,70.4,4417,1144,135,170,79.4,107,141,75.9,21,48,43.8
2020-2021,EPL,West Brom,Grady Diangana,eng ENG,"MF,FW",22,13.7,260,360,72.2,3328,806,176,212,83,62,87,71.3,10,22,45.5
2020-2021,EPL,West Brom,Ainsley Maitland-Niles,eng ENG,MF,22,13.7,313,416,75.2,4264,1309,177,214,82.7,81,102,79.4,22,37,59.5
2020-2021,EPL,West Brom,Mbaye Diagne,sn SEN,FW,28,13.2,149,241,61.8,1909,382,98,131,74.8,24,57,42.1,10,15,66.7
2020-2021,EPL,West Brom,Karlan Grant,eng ENG,"FW,MF",22,12.5,164,234,70.1,1990,336,110,141,78,34,45,75.6,6,12,50
2020-2021,EPL,West Brom,Kieran Gibbs,eng ENG,DF,30,9,222,313,70.9,3388,1278,125,144,86.8,80,110,72.7,12,44,27.3
2020-2021,EPL,West Brom,Branislav Ivanović,rs SRB,DF,36,8.5,267,320,83.4,5173,1545,88,95,92.6,149,167,89.2,26,49,53.1
2020-2021,EPL,West Brom,Robert Snodgrass,sct SCO,"MF,FW",32,5.8,107,141,75.9,1632,503,56,66,84.8,39,57,68.4,7,9,77.8
2020-2021,EPL,West Brom,Filip Krovinović,hr CRO,MF,24,6.1,306,374,81.8,4854,1527,153,176,86.9,111,129,86,25,36,69.4
2020-2021,EPL,West Brom,Lee Peltier,eng ENG,DF,33,2.5,49,80,61.3,774,231,25,28,89.3,20,32,62.5,3,13,23.1
2020-2021,EPL,West Brom,Hal Robson-Kanu,wls WAL,FW,31,6.2,56,81,69.1,755,198,34,41,82.9,16,22,72.7,3,5,60
2020-2021,EPL,West Brom,Kamil Grosicki,pl POL,"MF,FW",32,1.6,30,45,66.7,455,110,14,18,77.8,12,15,80,2,9,22.2
2020-2021,EPL,West Brom,Kyle Edwards,eng ENG,"MF,FW",22,1.3,31,35,88.6,379,96,22,23,95.7,9,10,90,0,1,0
2020-2021,EPL,West Brom,David Button,eng ENG,GK,31,1,18,37,48.6,693,571,2,2,100,5,5,100,11,30,36.7
2020-2021,EPL,West Brom,Ahmed Hegazi,eg EGY,DF,29,1,38,57,66.7,742,399,13,18,72.2,19,26,73.1,6,11,54.5
2020-2021,EPL,West Brom,Charlie Austin,eng ENG,"FW,MF",31,1.5,23,34,67.6,297,111,17,20,85,4,7,57.1,1,2,50
2020-2021,EPL,West Brom,Sam Field,eng ENG,MF,22,0.7,15,25,60,209,52,10,14,71.4,2,4,50,2,4,50
2020-2021,EPL,West Brom,Rekeem Harper,eng ENG,MF,20,0.4,14,17,82.4,243,41,7,8,87.5,6,6,100,1,3,33.3
2020-2021,EPL,Sheffield Utd,Aaron Ramsdale,eng ENG,GK,22,38,569,1153,49.3,22218,19232,71,73,97.3,176,179,98.3,318,889,35.8
2020-2021,EPL,Sheffield Utd,George Baldock,gr GRE,DF,27,31,888,1153,77,11908,3743,582,647,90,229,305,75.1,36,98,36.7
2020-2021,EPL,Sheffield Utd,Chris Basham,eng ENG,"DF,MF",32,28.6,939,1153,81.4,14844,4412,493,557,88.5,364,426,85.4,62,116,53.4
2020-2021,EPL,Sheffield Utd,Enda Stevens,ie IRL,DF,30,30,1108,1459,75.9,16993,7282,627,703,89.2,375,482,77.8,77,186,41.4
2020-2021,EPL,Sheffield Utd,John Egan,ie IRL,DF,27,29.2,923,1135,81.3,18683,6732,300,345,87,499,557,89.6,116,208,55.8
2020-2021,EPL,Sheffield Utd,John Fleck,sct SCO,MF,28,28.6,971,1245,78,14229,4533,540,593,91.1,296,364,81.3,70,172,40.7
2020-2021,EPL,Sheffield Utd,David McGoldrick,ie IRL,"FW,MF",32,26.6,697,947,73.6,9806,1823,397,485,81.9,210,280,75,37,62,59.7
2020-2021,EPL,Sheffield Utd,Oliver Norwood,nir NIR,MF,29,24.7,1205,1532,78.7,23516,7230,472,526,89.7,524,607,86.3,183,334,54.8
2020-2021,EPL,Sheffield Utd,Ethan Ampadu,wls WAL,"DF,MF",19,23.2,870,1087,80,15680,5536,370,424,87.3,378,446,84.8,102,158,64.6
2020-2021,EPL,Sheffield Utd,John Lundstram,eng ENG,MF,26,22.6,859,1082,79.4,13623,3077,417,454,91.9,295,352,83.8,79,168,47
2020-2021,EPL,Sheffield Utd,Ben Osborn,eng ENG,"MF,DF",25,17.8,660,859,76.8,8905,3102,420,466,90.1,169,221,76.5,33,85,38.8
2020-2021,EPL,Sheffield Utd,Oliver Burke,sct SCO,FW,23,14.1,178,262,67.9,1997,309,114,150,76,31,45,68.9,4,8,50
2020-2021,EPL,Sheffield Utd,Sander Berge,no NOR,MF,22,12.4,378,464,81.5,5944,1357,198,229,86.5,138,154,89.6,28,45,62.2
2020-2021,EPL,Sheffield Utd,Oliver McBurnie,sct SCO,FW,24,14.7,253,447,56.6,3038,853,165,257,64.2,55,107,51.4,8,11,72.7
2020-2021,EPL,Sheffield Utd,Rhian Brewster,eng ENG,"FW,MF",20,12.5,157,225,69.8,2231,556,98,125,78.4,37,54,68.5,12,22,54.5
2020-2021,EPL,Sheffield Utd,Jayden Bogle,eng ENG,"DF,MF",20,12.3,296,387,76.5,3834,1410,189,214,88.3,71,96,74,8,28,28.6
2020-2021,EPL,Sheffield Utd,Kean Bryan,eng ENG,DF,23,11.2,333,486,68.5,5901,2652,151,179,84.4,140,183,76.5,32,94,34
2020-2021,EPL,Sheffield Utd,Jack Robinson,eng ENG,DF,26,9.7,364,470,77.4,6071,2267,165,185,89.2,161,196,82.1,24,61,39.3
2020-2021,EPL,Sheffield Utd,Billy Sharp,eng ENG,FW,34,8.2,85,123,69.1,1003,155,53,69,76.8,24,33,72.7,0,1,0
2020-2021,EPL,Sheffield Utd,Max Lowe,eng ENG,DF,23,6.1,147,221,66.5,2013,664,90,111,81.1,42,64,65.6,7,21,33.3
2020-2021,EPL,Sheffield Utd,Phil Jagielka,eng ENG,DF,37,5.8,148,209,70.8,3289,1135,39,49,79.6,76,98,77.6,30,51,58.8
2020-2021,EPL,Sheffield Utd,Daniel Jebbison,eng ENG,FW,17,3.2,24,36,66.7,271,32,12,17,70.6,4,6,66.7,1,2,50
2020-2021,EPL,Sheffield Utd,Lys Mousset,fr FRA,"FW,MF",24,3.3,34,46,73.9,476,74,19,22,86.4,11,14,78.6,2,3,66.7
2020-2021,EPL,Sheffield Utd,Jack O'Connell,eng ENG,DF,26,2,56,79,70.9,1001,412,22,23,95.7,25,33,75.8,8,17,47.1
2020-2021,EPL,Sheffield Utd,Iliman Ndiaye,sn SEN,MF,20,0.1,3,3,100,34,11,2,2,100,1,1,100,0,0,
2020-2021,EPL,Sheffield Utd,Antwoine Hackford,eng ENG,DF,16,0.1,1,1,100,2,0,0,0,,0,0,,0,0,
2020-2021,EPL,Sheffield Utd,Femi Seriki,eng ENG,MF,18,0,0,0,,0,0,0,0,,0,0,,0,0,
2020-2021,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,34,33,1134,1320,85.9,28936,19211,194,195,99.5,593,605,98,343,510,67.3
2020-2021,Bundesliga,Bayern Munich,Thomas Müller,de GER,MF,30,29.7,1113,1539,72.3,16849,4499,572,700,81.7,393,531,74,76,135,56.3
2020-2021,Bundesliga,Bayern Munich,David Alaba,at AUT,"DF,MF",28,29.7,1929,2290,84.2,35563,12318,736,817,90.1,1003,1125,89.2,172,283,60.8
2020-2021,Bundesliga,Bayern Munich,Jérôme Boateng,de GER,DF,31,26.3,1775,2030,87.4,38629,13549,403,439,91.8,1065,1133,94,288,422,68.2
2020-2021,Bundesliga,Bayern Munich,Robert Lewandowski,pl POL,FW,31,27.3,516,694,74.4,6933,1468,287,353,81.3,148,190,77.9,26,43,60.5
2020-2021,Bundesliga,Bayern Munich,Joshua Kimmich,de GER,MF,25,24.4,1778,2131,83.4,35284,11678,652,721,90.4,777,864,89.9,290,446,65
2020-2021,Bundesliga,Bayern Munich,Kingsley Coman,fr FRA,"FW,MF",24,19.5,662,844,78.4,10231,1779,358,409,87.5,220,280,78.6,52,80,65
2020-2021,Bundesliga,Bayern Munich,Benjamin Pavard,fr FRA,DF,24,21.6,1414,1676,84.4,22797,7611,723,796,90.8,540,616,87.7,112,188,59.6
2020-2021,Bundesliga,Bayern Munich,Alphonso Davies,ca CAN,DF,19,19.6,1322,1492,88.6,19267,5346,747,809,92.3,481,520,92.5,46,69,66.7
2020-2021,Bundesliga,Bayern Munich,Serge Gnabry,de GER,"FW,MF",25,18.3,671,861,77.9,9731,2213,379,432,87.7,220,268,82.1,36,71,50.7
2020-2021,Bundesliga,Bayern Munich,Leroy Sané,de GER,"FW,MF",24,20.1,594,814,73,9141,2073,333,385,86.5,186,248,75,47,97,48.5
2020-2021,Bundesliga,Bayern Munich,Leon Goretzka,de GER,MF,25,18.9,920,1060,86.8,15950,4140,429,470,91.3,342,381,89.8,108,136,79.4
2020-2021,Bundesliga,Bayern Munich,Lucas Hernández,fr FRA,DF,24,17.7,1100,1317,83.5,19083,7094,462,509,90.8,529,598,88.5,83,135,61.5
2020-2021,Bundesliga,Bayern Munich,Niklas Süle,de GER,DF,24,16.7,1203,1331,90.4,22122,7967,450,489,92,618,661,93.5,110,144,76.4
2020-2021,Bundesliga,Bayern Munich,Eric Maxim Choupo-Moting,cm CMR,"FW,MF",31,9.1,174,222,78.4,2033,332,118,134,88.1,37,48,77.1,4,6,66.7
2020-2021,Bundesliga,Bayern Munich,Jamal Musiala,de GER,"FW,MF",17,9.8,351,423,83,4792,941,208,239,87,105,123,85.4,13,19,68.4
2020-2021,Bundesliga,Bayern Munich,Corentin Tolisso,fr FRA,MF,25,8.7,480,558,86,8917,2564,204,230,88.7,189,205,92.2,73,87,83.9
2020-2021,Bundesliga,Bayern Munich,Bouna Sarr,sn SEN,DF,28,5,330,382,86.4,5148,1480,174,198,87.9,134,147,91.2,20,27,74.1
2020-2021,Bundesliga,Bayern Munich,Javi Martínez,es ESP,"DF,MF",31,5.2,347,390,89,6576,1944,119,132,90.2,185,205,90.2,39,45,86.7
2020-2021,Bundesliga,Bayern Munich,Douglas Costa,br BRA,"FW,MF",29,3.6,127,185,68.6,2276,622,62,74,83.8,43,59,72.9,19,32,59.4
2020-2021,Bundesliga,Bayern Munich,Marc Roca,es ESP,MF,23,2,110,125,88,1725,757,54,59,91.5,42,46,91.3,9,10,90
2020-2021,Bundesliga,Bayern Munich,Joshua Zirkzee,nl NED,FW,19,1,21,27,77.8,230,13,15,20,75,5,6,83.3,0,0,
2020-2021,Bundesliga,Bayern Munich,Alexander Nübel,de GER,GK,23,1,34,36,94.4,731,476,10,10,100,20,20,100,4,6,66.7
2020-2021,Bundesliga,Bayern Munich,Josip Stanišić,hr CRO,DF,20,1,57,63,90.5,1102,253,18,20,90,34,37,91.9,5,5,100
2020-2021,Bundesliga,Bayern Munich,Chris Richards,us USA,DF,20,1,76,85,89.4,1152,374,43,44,97.7,26,29,89.7,5,5,100
2020-2021,Bundesliga,Bayern Munich,Tiago Dantas,pt POR,MF,19,0.8,26,34,76.5,541,106,9,12,75,11,13,84.6,6,7,85.7
2020-2021,Bundesliga,Bayern Munich,Tanguy Nianzou,fr FRA,"DF,FW",18,1.3,78,91,85.7,1482,558,26,30,86.7,45,47,95.7,7,11,63.6
2020-2021,Bundesliga,Bayern Munich,Christopher Scott,de GER,"MF,FW",18,0.4,7,9,77.8,70,19,5,5,100,1,1,100,0,1,0
2020-2021,Bundesliga,Bayern Munich,Mickaël Cuisance,fr FRA,FW,20,0.2,9,10,90,130,4,4,4,100,5,5,100,0,1,0
2020-2021,Bundesliga,RB Leipzig,Péter Gulácsi,hu HUN,GK,30,33,1023,1172,87.3,24225,15489,234,235,99.6,542,546,99.3,242,385,62.9
2020-2021,Bundesliga,RB Leipzig,Dayot Upamecano,fr FRA,DF,21,25.9,1953,2216,88.1,40013,14646,577,647,89.2,1107,1193,92.8,255,328,77.7
2020-2021,Bundesliga,RB Leipzig,Dani Olmo,es ESP,MF,22,24.4,958,1256,76.3,13733,4251,550,641,85.8,269,352,76.4,73,114,64
2020-2021,Bundesliga,RB Leipzig,Willi Orban,hu HUN,DF,27,26.3,1843,2119,87,32537,12346,699,775,90.2,989,1087,91,115,183,62.8
2020-2021,Bundesliga,RB Leipzig,Angeliño,es ESP,"DF,FW",23,24,1057,1500,70.5,17210,6049,561,634,88.5,373,516,72.3,92,248,37.1
2020-2021,Bundesliga,RB Leipzig,Marcel Sabitzer,at AUT,MF,26,22.5,1051,1344,78.2,16586,5308,563,642,87.7,365,431,84.7,76,159,47.8
2020-2021,Bundesliga,RB Leipzig,Kevin Kampl,si SVN,MF,29,21.5,1252,1401,89.4,19648,4741,633,675,93.8,489,533,91.7,78,113,69
2020-2021,Bundesliga,RB Leipzig,Amadou Haidara,ml MLI,"MF,FW",22,21.2,869,1099,79.1,12075,3814,526,609,86.4,248,312,79.5,44,76,57.9
2020-2021,Bundesliga,RB Leipzig,Tyler Adams,us USA,"MF,DF",21,20.6,1173,1375,85.3,17415,5037,670,730,91.8,394,456,86.4,65,108,60.2
2020-2021,Bundesliga,RB Leipzig,Nordi Mukiele,fr FRA,DF,22,18.6,895,1158,77.3,14987,5720,445,520,85.6,343,410,83.7,79,133,59.4
2020-2021,Bundesliga,RB Leipzig,Emil Forsberg,se SWE,"FW,MF",28,17.1,468,616,76,6514,1542,258,299,86.3,130,161,80.7,29,63,46
2020-2021,Bundesliga,RB Leipzig,Christopher Nkunku,fr FRA,"FW,MF",22,21,761,1001,76,10722,3271,441,499,88.4,212,270,78.5,50,131,38.2
2020-2021,Bundesliga,RB Leipzig,Marcel Halstenberg,de GER,DF,28,18.3,1412,1649,85.6,23009,7864,707,776,91.1,587,672,87.4,91,141,64.5
2020-2021,Bundesliga,RB Leipzig,Lukas Klostermann,de GER,DF,24,16.1,1015,1169,86.8,17349,5891,448,486,92.2,491,528,93,68,125,54.4
2020-2021,Bundesliga,RB Leipzig,Yussuf Poulsen,dk DEN,FW,26,15,316,446,70.9,3669,787,195,246,79.3,65,102,63.7,11,18,61.1
2020-2021,Bundesliga,RB Leipzig,Alexander Sørloth,no NOR,FW,24,16,330,466,70.8,3954,760,211,264,79.9,76,108,70.4,8,15,53.3
2020-2021,Bundesliga,RB Leipzig,Justin Kluivert,nl NED,"FW,MF",21,9,171,249,68.7,2417,470,95,127,74.8,55,73,75.3,9,21,42.9
2020-2021,Bundesliga,RB Leipzig,Ibrahima Konaté,fr FRA,DF,21,7.7,480,561,85.6,9065,3046,152,171,88.9,288,317,90.9,34,61,55.7
2020-2021,Bundesliga,RB Leipzig,Benjamin Henrichs,de GER,"DF,MF",23,6,258,344,75,3854,1378,149,175,85.1,85,114,74.6,16,32,50
2020-2021,Bundesliga,RB Leipzig,Hwang Hee-chan,kr KOR,"FW,MF",24,5.1,82,128,64.1,1011,175,45,63,71.4,24,40,60,3,8,37.5
2020-2021,Bundesliga,RB Leipzig,Lazar Samardzic,de GER,MF,18,2.2,45,62,72.6,685,183,27,32,84.4,12,16,75,5,9,55.6
2020-2021,Bundesliga,RB Leipzig,Josep Martinez,es ESP,GK,22,1,38,50,76,782,458,15,15,100,17,18,94.4,6,17,35.3
2020-2021,Bundesliga,RB Leipzig,Konrad Laimer,at AUT,"DF,MF",23,0.9,35,49,71.4,401,149,25,27,92.6,4,12,33.3,2,3,66.7
2020-2021,Bundesliga,RB Leipzig,Joscha Wosz,de GER,DF,18,0.4,11,15,73.3,165,36,5,7,71.4,2,3,66.7,2,2,100
2020-2021,Bundesliga,RB Leipzig,Dennis Borkowski,de GER,"MF,FW",18,0.1,4,5,80,53,0,2,2,100,2,2,100,0,0,
2020-2021,Bundesliga,Dortmund,Mats Hummels,de GER,DF,31,31.3,2320,2654,87.4,51168,17573,535,595,89.9,1384,1484,93.3,390,523,74.6
2020-2021,Bundesliga,Dortmund,Erling Haaland,no NOR,FW,20,26.7,333,468,71.2,4220,806,205,268,76.5,96,124,77.4,6,17,35.3
2020-2021,Bundesliga,Dortmund,Marco Reus,de GER,"MF,FW",31,25.3,890,1131,78.7,13010,3208,490,564,86.9,274,335,81.8,63,94,67
2020-2021,Bundesliga,Dortmund,Manuel Akanji,ch SUI,DF,25,26.1,1961,2137,91.8,37492,12871,698,744,93.8,1018,1067,95.4,216,273,79.1
2020-2021,Bundesliga,Dortmund,Raphaël Guerreiro,pt POR,DF,26,24.6,1841,2151,85.6,27469,10173,1054,1151,91.6,613,704,87.1,112,172,65.1
2020-2021,Bundesliga,Dortmund,Jadon Sancho,eng ENG,"FW,MF",20,22.9,1139,1460,78,16184,4547,674,788,85.5,344,421,81.7,67,127,52.8
2020-2021,Bundesliga,Dortmund,Emre Can,de GER,"DF,MF",26,23.7,1552,1793,86.6,29259,9149,579,638,90.8,799,868,92.1,159,244,65.2
2020-2021,Bundesliga,Dortmund,Gio Reyna,us USA,"MF,FW",17,22,754,957,78.8,10611,2195,456,533,85.6,227,274,82.8,33,68,48.5
2020-2021,Bundesliga,Dortmund,Jude Bellingham,eng ENG,MF,17,18.9,866,1049,82.6,14258,3234,413,478,86.4,338,380,88.9,74,101,73.3
2020-2021,Bundesliga,Dortmund,Roman Bürki,ch SUI,GK,29,18.5,514,630,81.6,12846,8711,97,97,100,277,279,99.3,139,252,55.2
2020-2021,Bundesliga,Dortmund,Julian Brandt,de GER,"FW,MF",24,16.6,776,931,83.4,12066,2776,411,477,86.2,248,281,88.3,71,87,81.6
2020-2021,Bundesliga,Dortmund,Thomas Meunier,be BEL,DF,28,16.4,1007,1252,80.4,16511,4472,514,567,90.7,370,458,80.8,90,150,60
2020-2021,Bundesliga,Dortmund,Marwin Hitz,ch SUI,GK,32,15.5,458,551,83.1,12366,8229,81,82,98.8,232,233,99.6,141,230,61.3
2020-2021,Bundesliga,Dortmund,Mahmoud Dahoud,de GER,MF,24,14,792,926,85.5,14444,3340,317,345,91.9,350,391,89.5,94,129,72.9
2020-2021,Bundesliga,Dortmund,Thomas Delaney,dk DEN,MF,28,14.3,684,828,82.6,11683,2983,328,368,89.1,255,289,88.2,69,113,61.1
2020-2021,Bundesliga,Dortmund,Axel Witsel,be BEL,MF,31,12.6,745,798,93.4,12325,3137,338,353,95.8,331,345,95.9,55,66,83.3
2020-2021,Bundesliga,Dortmund,Mateu Morey,es ESP,DF,20,9.2,616,741,83.1,10230,2557,302,324,93.2,235,284,82.7,62,93,66.7
2020-2021,Bundesliga,Dortmund,Thorgan Hazard,be BEL,"MF,FW",27,7.3,295,368,80.2,4502,1331,168,189,88.9,85,102,83.3,24,41,58.5
2020-2021,Bundesliga,Dortmund,Nico Schulz,de GER,DF,27,6.8,375,467,80.3,5633,1742,197,218,90.4,142,165,86.1,19,40,47.5
2020-2021,Bundesliga,Dortmund,Łukasz Piszczek,pl POL,DF,35,5.1,249,319,78.1,4228,1621,116,128,90.6,109,138,79,20,37,54.1
2020-2021,Bundesliga,Dortmund,Felix Passlack,de GER,DF,22,4,253,305,83,4011,825,131,143,91.6,99,111,89.2,13,26,50
2020-2021,Bundesliga,Dortmund,Dan-Axel Zagadou,fr FRA,DF,21,3.1,212,246,86.2,4020,1322,67,75,89.3,128,141,90.8,14,23,60.9
2020-2021,Bundesliga,Dortmund,Youssoufa Moukoko,de GER,"FW,MF",15,4.7,51,68,75,690,90,26,31,83.9,16,23,69.6,2,2,100
2020-2021,Bundesliga,Dortmund,Reinier,br BRA,"MF,FW",18,2.9,103,121,85.1,1220,250,63,69,91.3,27,32,84.4,1,3,33.3
2020-2021,Bundesliga,Dortmund,Ansgar Knauff,de GER,"MF,FW",18,0.8,18,27,66.7,318,92,10,13,76.9,7,9,77.8,1,3,33.3
2020-2021,Bundesliga,Dortmund,Steffen Tigges,de GER,"FW,DF",22,0.6,8,18,44.4,134,66,4,9,44.4,3,4,75,1,3,33.3
2020-2021,Bundesliga,Wolfsburg,Wout Weghorst,nl NED,FW,27,32.7,523,797,65.6,7141,1417,327,452,72.3,135,195,69.2,32,42,76.2
2020-2021,Bundesliga,Wolfsburg,Koen Casteels,be BEL,GK,28,32,951,1253,75.9,27496,19003,139,139,100,482,485,99.4,329,625,52.6
2020-2021,Bundesliga,Wolfsburg,John Brooks,us USA,DF,27,30.8,1612,1943,83,35222,12537,339,404,83.9,1032,1133,91.1,230,367,62.7
2020-2021,Bundesliga,Wolfsburg,Ridle Baku,de GER,"FW,DF",22,29.8,1095,1484,73.8,17435,5110,575,668,86.1,432,575,75.1,67,136,49.3
2020-2021,Bundesliga,Wolfsburg,Xaver Schlager,at AUT,MF,22,29.2,961,1273,75.5,16260,4704,456,569,80.1,393,468,84,84,147,57.1
2020-2021,Bundesliga,Wolfsburg,Maximilian Arnold,de GER,MF,26,28.7,1323,1664,79.5,27177,8485,456,519,87.9,586,677,86.6,248,391,63.4
2020-2021,Bundesliga,Wolfsburg,Maxence Lacroix,fr FRA,DF,20,28.8,1473,1777,82.9,32179,11861,305,364,83.8,944,1023,92.3,217,350,62
2020-2021,Bundesliga,Wolfsburg,Josip Brekalo,hr CRO,FW,22,20.2,649,873,74.3,11300,2496,284,348,81.6,275,344,79.9,68,119,57.1
2020-2021,Bundesliga,Wolfsburg,Yannick Gerhardt,de GER,"MF,FW",26,21.5,540,745,72.5,8430,2579,271,343,79,213,269,79.2,30,55,54.5
2020-2021,Bundesliga,Wolfsburg,Paulo Otávio,br BRA,DF,25,19.3,721,988,73,12293,4086,325,376,86.4,322,439,73.3,56,123,45.5
2020-2021,Bundesliga,Wolfsburg,Kevin Mbabu,ch SUI,DF,25,18.2,702,1035,67.8,12846,5809,274,350,78.3,348,455,76.5,69,154,44.8
2020-2021,Bundesliga,Wolfsburg,Renato Steffen,ch SUI,"FW,MF",28,17.4,458,647,70.8,7366,1876,253,306,82.7,159,231,68.8,35,60,58.3
2020-2021,Bundesliga,Wolfsburg,Jérôme Roussillon,fr FRA,DF,27,13.7,498,670,74.3,8293,3196,228,262,87,222,291,76.3,37,82,45.1
2020-2021,Bundesliga,Wolfsburg,Maximilian Philipp,de GER,MF,26,12.3,278,380,73.2,3793,822,168,211,79.6,82,101,81.2,12,26,46.2
2020-2021,Bundesliga,Wolfsburg,Admir Mehmedi,ch SUI,"MF,FW",29,9.1,340,440,77.3,4998,1304,185,220,84.1,106,132,80.3,21,36,58.3
2020-2021,Bundesliga,Wolfsburg,Josuha Guilavogui,fr FRA,"MF,DF",29,8.3,362,435,83.2,6739,2175,137,158,86.7,178,199,89.4,42,61,68.9
2020-2021,Bundesliga,Wolfsburg,Marin Pongračić,hr CRO,DF,22,6.4,273,321,85,6078,2154,53,58,91.4,174,196,88.8,44,61,72.1
2020-2021,Bundesliga,Wolfsburg,João Victor Santos Sá,br BRA,FW,26,5.2,143,186,76.9,1952,373,83,99,83.8,43,51,84.3,6,8,75
2020-2021,Bundesliga,Wolfsburg,Pavao Pervan,at AUT,GK,32,2,49,70,70,1443,1064,6,6,100,25,25,100,18,38,47.4
2020-2021,Bundesliga,Wolfsburg,Bartosz Bialek,pl POL,"FW,MF",18,3,50,74,67.6,867,276,23,33,69.7,17,23,73.9,8,10,80
2020-2021,Bundesliga,Wolfsburg,Daniel Ginczek,de GER,"FW,MF",29,2.4,42,71,59.2,561,93,31,45,68.9,9,15,60,1,3,33.3
2020-2021,Bundesliga,Wolfsburg,Felix Klaus,de GER,"DF,MF",27,1.5,60,72,83.3,1017,290,27,31,87.1,27,29,93.1,5,8,62.5
2020-2021,Bundesliga,Wolfsburg,Yunus Mallı,tr TUR,MF,28,0.6,8,11,72.7,129,47,2,3,66.7,5,7,71.4,0,0,
2020-2021,Bundesliga,Wolfsburg,Tim Siersleben,de GER,DF,20,0.4,21,25,84,409,107,5,7,71.4,14,15,93.3,2,3,66.7
2020-2021,Bundesliga,Wolfsburg,William,br BRA,"MF,FW",25,0,0,1,0,0,0,0,0,,0,0,,0,0,
