Season,League,Team,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,SP_Cmp,SP_Att,SP_Cmp%,MP_Cmp,MP_Att,MP_Cmp%,LP_Cmp,LP_Att,LP_Cmp%
2017-2018,EPL,Watford,Jerome Sinclair,eng ENG,"MF,FW",20,0.3,7,8,87.5,91,40,4,4,100,2,3,66.7,0,0,
2017-2018,EPL,Watford,Dodi Lukebakio,be BEL,"MF,FW",19,0.2,7,8,87.5,118,55,2,2,100,4,4,100,0,1,0
2017-2018,EPL,Brighton,Lewis Dunk,eng ENG,DF,25,38,1189,1529,77.8,26092,8945,377,423,89.1,545,612,89.1,242,436,55.5
2017-2018,EPL,Brighton,Mathew Ryan,au AUS,GK,25,38,625,1186,52.7,25837,22013,20,20,100,178,179,99.4,427,975,43.8
2017-2018,EPL,Brighton,Shane Duffy,ie IRL,DF,25,36.6,1045,1368,76.4,23174,7843,271,328,82.6,544,624,87.2,213,373,57.1
2017-2018,EPL,Brighton,Dale Stephens,eng ENG,MF,28,36,1472,1763,83.5,29027,8748,517,594,87,685,785,87.3,232,314,73.9
2017-2018,EPL,Brighton,Davy Pröpper,nl NED,MF,25,34.7,1088,1405,77.4,20957,6052,410,498,82.3,488,582,83.8,157,234,67.1
2017-2018,EPL,Brighton,Pascal Groß,de GER,"FW,MF",26,32.5,1001,1470,68.1,16478,5349,516,607,85,258,378,68.3,142,307,46.3
2017-2018,EPL,Brighton,Anthony Knockaert,fr FRA,"MF,FW",25,26.9,851,1103,77.2,12977,3196,475,544,87.3,270,337,80.1,61,126,48.4
2017-2018,EPL,Brighton,Gaëtan Bong,cm CMR,DF,29,24.8,728,1091,66.7,11534,5807,364,438,83.1,291,423,68.8,43,147,29.3
2017-2018,EPL,Brighton,Glenn Murray,eng ENG,FW,33,24.4,366,678,54,4451,813,212,364,58.2,105,181,58,7,26,26.9
2017-2018,EPL,Brighton,Bruno,es ESP,DF,36,22.4,949,1220,77.8,16949,6723,446,492,90.7,371,460,80.7,116,215,54
2017-2018,EPL,Brighton,José Izquierdo,co COL,"MF,FW",25,22,415,550,75.5,5081,1389,259,317,81.7,104,142,73.2,9,24,37.5
2017-2018,EPL,Brighton,Solly March,eng ENG,"MF,FW",23,20.6,516,756,68.3,8609,2396,255,309,82.5,173,241,71.8,59,119,49.6
