Year,Country,Player,Pos,Age,Int Matches Played,Int Starts,Int Min,Int 90s,Int Goals,Int Assists,Int Goals + Assists ,Int Non Penalty Goals,Int Penalty Goals,Int Penaltes Attempted,Int Yellow Cards,Int Red Cards,Int Goals Per 90,Int Assists Per 90,Int Goals + Assits Per 90,Int Non Penalty Goals Per 90,Int Non Penalty Goals + Assits Per 90
2018,Albania ,Albion Ademi,"FW,MF",19,0,0,,,,,,,,,,,,,,,
2018,Albania ,Ansi Agolli,"DF,MF",35,0,0,,,,,,,,,,,,,,,
2018,Albania ,Bujar Lika,DF,25,0,0,,,,,,,,,,,,,,,
2018,Albania ,Besir Demiri,"DF,MF",23,0,0,,,,,,,,,,,,,,,
2018,Albania ,Alban Hoxha,GK,30,0,0,,,,,,,,,,,,,,,
2018,Albania ,Egli Kaja,MF,21,0,0,,,,,,,,,,,,,,,
2018,Albania ,Elhan Kastrati,GK,21,0,0,,,,,,,,,,,,,,,
2018,Albania ,Ermir Lenjani,"DF,FW",28,0,0,,,,,,,,,,,,,,,
2018,Albania ,Andi Lila,"DF,MF",32,0,0,,,,,,,,,,,,,,,
2019,Albania ,Ramen Cepele,DF,16,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2019,Albania ,Albi Doka,DF,22,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2019,Albania ,Ardian Ismajli,DF,23,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Albania ,Qazim Laçi,MF,24,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Albania ,Ylber Ramadani,MF,23,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Albania ,Myrto Uzuni,FW,24,1,1,84,0.9,1,1,2,1,0,0,0,0,1.07,1.07,2.14,1.07,2.14
2019,Albania ,Lindon Selahi,MF,20,1,1,64,0.7,0,1,1,0,0,0,0,0,0,1.41,1.41,0,1.41
2019,Albania ,Bekim Balaj,FW,29,1,1,45,0.5,1,0,1,1,0,0,0,0,2,0,2,2,2
2019,Albania ,Etrit Berisha,GK,30,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Albania ,Erion Hoxhallari,DF,24,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
