Season,League,Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Save%.1,Matches
2018-2019,EPL,Southampton,Fraser Forster,eng ENG,GK,30,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,,
2018-2019,EPL,Brighton,Mathew Ryan,au AUS,GK,26,34,34,3060,34,55,1.62,152,96,69.1,8,8,18,6,17.6,8,8,0,0,
2018-2019,EPL,Brighton,David Button,eng ENG,GK,29,4,4,360,4,5,1.25,18,13,83.3,1,1,2,1,25,2,2,0,0,
2018-2019,EPL,Cardiff City,Neil Etheridge,ph PHI,GK,28,38,38,3420,38,69,1.82,207,135,68.6,10,4,24,10,26.3,7,4,3,42.9,
2018-2019,EPL,Fulham,Sergio Rico,es ESP,GK,24,29,29,2610,29,56,1.93,165,111,68.5,6,3,20,5,17.2,4,4,0,0,
2018-2019,EPL,Fulham,Marcus Bettinelli,eng ENG,GK,26,7,7,630,7,20,2.86,40,19,52.5,1,2,4,0,0,3,1,1,50,
2018-2019,EPL,Fulham,Fabricio,es ESP,GK,30,2,2,180,2,5,2.5,21,16,76.2,0,0,2,0,0,0,0,0,,
2018-2019,EPL,Huddersfield,Jonas Lössl,dk DEN,GK,29,31,30,2777,30.9,54,1.75,141,86,64.5,3,5,22,5,16.7,5,4,1,20,
2018-2019,EPL,Huddersfield,Ben Hamer,eng ENG,GK,30,7,7,553,6.1,21,3.42,42,22,57.1,0,1,6,0,0,3,3,0,0,
2018-2019,EPL,Huddersfield,Joel Coleman,eng ENG,GK,22,1,1,90,1,1,1,3,2,66.7,0,1,0,0,0,0,0,0,,
2018-2019,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,32,26,26,2303,25.6,23,0.9,56,34,64.3,20,3,3,10,38.5,3,3,0,0,
2018-2019,Bundesliga,Bayern Munich,Sven Ulreich,de GER,GK,29,9,8,757,8.4,9,1.07,23,14,69.6,4,3,1,2,25,3,2,0,0,
2018-2019,Bundesliga,Dortmund,Roman Bürki,ch SUI,GK,27,32,32,2880,32,40,1.25,128,88,71.9,21,7,4,10,31.3,4,4,0,0,
2018-2019,Bundesliga,Dortmund,Marwin Hitz,ch SUI,GK,30,2,2,180,2,4,2,6,2,33.3,2,0,0,0,0,1,0,0,,
2018-2019,Bundesliga,RB Leipzig,Péter Gulácsi,hu HUN,GK,28,33,33,2925,32.5,27,0.83,117,91,80.3,19,9,5,15,45.5,5,4,0,0,
2018-2019,Bundesliga,RB Leipzig,Yvon Mvogo,ch SUI,GK,24,2,1,135,1.5,2,1.33,4,2,75,0,0,1,1,100,1,1,0,0,
2018-2019,Bundesliga,Leverkusen,Lukáš Hrádecký,fi FIN,GK,28,32,32,2880,32,47,1.47,127,81,65.4,18,4,10,9,28.1,4,3,1,25,
2018-2019,Bundesliga,Leverkusen,Ramazan Özcan,at AUT,GK,34,2,2,180,2,5,2.5,12,7,66.7,0,0,2,0,0,2,1,1,50,
2018-2019,Bundesliga,M'Gladbach,Yann Sommer,ch SUI,GK,29,34,34,3060,34,42,1.24,156,114,75,16,7,11,13,38.2,3,3,0,0,
2018-2019,Bundesliga,Wolfsburg,Koen Casteels,be BEL,GK,26,26,26,2295,25.5,39,1.53,119,79,70.6,11,6,9,8,30.8,5,4,1,20,
2018-2019,Bundesliga,Wolfsburg,Pavao Pervan,at AUT,GK,30,10,8,765,8.5,11,1.29,40,29,72.5,5,1,2,1,12.5,1,0,0,,
2018-2019,Bundesliga,Eint Frankfurt,Kevin Trapp,de GER,GK,28,33,33,2938,32.6,48,1.47,158,111,70.3,14,9,10,8,24.2,1,1,0,0,
2018-2019,Bundesliga,Eint Frankfurt,Frederik Rønnow,dk DEN,GK,25,2,1,122,1.4,0,0,7,7,100,1,0,0,1,100,0,0,0,,
2018-2019,Bundesliga,Werder Bremen,Jiří Pavlenka,cz CZE,GK,26,34,34,2978,33.1,47,1.42,153,106,71.2,14,11,9,5,14.7,4,3,0,0,
2018-2019,Bundesliga,Werder Bremen,Stefanos Kapino,gr GRE,GK,24,1,0,45,0.5,1,2,3,2,66.7,0,0,0,0,,0,0,0,,
2018-2019,Bundesliga,Werder Bremen,Luca Plogmann,de GER,GK,18,1,0,37,0.4,1,2.43,1,0,100,0,0,0,0,,1,1,0,0,
2018-2019,Bundesliga,Hoffenheim,Oliver Baumann,de GER,GK,28,33,33,2970,33,51,1.55,166,116,72.9,12,12,9,5,15.2,6,6,0,0,
2018-2019,Bundesliga,Hoffenheim,Gregor Kobel,ch SUI,GK,20,1,1,90,1,1,1,7,6,100,1,0,0,0,0,1,1,0,0,
2018-2019,Bundesliga,Düsseldorf,Michael Rensing,de GER,GK,34,32,32,2880,32,62,1.94,170,108,67.6,12,5,15,5,15.6,7,7,0,0,
2018-2019,Bundesliga,Düsseldorf,Jaroslav Drobný,cz CZE,GK,38,2,2,180,2,3,1.5,9,6,66.7,1,0,1,0,0,0,0,0,,
2018-2019,Bundesliga,Hertha BSC,Rune Jarstein,no NOR,GK,33,31,31,2745,30.5,48,1.57,143,96,67.8,9,10,12,8,25.8,4,2,1,33.3,
2018-2019,Bundesliga,Hertha BSC,Thomas Kraft,de GER,GK,30,4,3,315,3.5,9,2.57,16,7,56.3,2,0,1,1,33.3,2,2,0,0,
2018-2019,Bundesliga,Mainz 05,Florian Müller,de GER,GK,20,24,24,2160,24,43,1.79,124,81,67.7,8,3,13,5,20.8,4,3,0,0,
2018-2019,Bundesliga,Mainz 05,Robin Zentner,de GER,GK,23,10,10,900,10,14,1.4,49,35,71.4,4,4,2,2,20,0,0,0,,
2018-2019,Bundesliga,Freiburg,Alexander Schwolow,de GER,GK,26,33,33,2970,33,60,1.82,170,110,68.8,7,12,14,5,15.2,7,7,0,0,
2018-2019,Bundesliga,Freiburg,Mark Flekken,nl NED,GK,25,1,1,90,1,1,1,5,4,80,1,0,0,0,0,0,0,0,,
2018-2019,Bundesliga,Schalke 04,Alexander Nübel,de GER,GK,21,18,18,1588,17.6,29,1.64,83,53,68.7,4,6,8,4,22.2,4,3,1,25,
2018-2019,Bundesliga,Schalke 04,Ralf Fährmann,de GER,GK,29,17,16,1469,16.3,26,1.59,83,58,71.1,4,3,9,3,18.8,2,2,0,0,
2018-2019,Bundesliga,Augsburg,Gregor Kobel,ch SUI,GK,20,16,16,1390,15.4,42,2.72,93,51,55.9,4,2,10,3,18.8,2,1,1,50,
2018-2019,Bundesliga,Augsburg,Andreas Luthe,de GER,GK,31,15,14,1310,14.6,22,1.51,78,57,71.8,3,5,6,2,14.3,0,0,0,,
2018-2019,Bundesliga,Augsburg,Fabian Giefer,de GER,GK,28,4,4,360,4,7,1.75,19,12,63.2,1,1,2,0,0,0,0,0,,
2018-2019,Bundesliga,Stuttgart,Ron-Robert Zieler,de GER,GK,29,34,34,3060,34,70,2.06,179,113,62,7,7,20,6,17.6,3,2,0,0,
