Season,League,Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Save%.1,Matches
2021-2022,LaLiga,Osasuna,Juan Pérez,es ESP,GK,25,2,2,180,2,3,1.5,4,2,25,0,1,1,0,0,0,0,0,,
2021-2022,LaLiga,Celta Vigo,Matías Dituro,ar ARG,GK,34,38,38,3420,38,43,1.13,136,91,71.3,12,10,16,14,36.8,8,4,4,50,
2021-2022,LaLiga,Rayo Vallecano,Stole Dimitrievski,mk MKD,GK,27,31,30,2772,30.8,37,1.2,126,88,76.2,11,8,11,9,30,9,7,2,22.2,
2021-2022,LaLiga,Rayo Vallecano,Luca Zidane,fr FRA,GK,23,8,8,645,7.2,13,1.81,37,24,64.9,0,1,7,0,0,0,0,0,,
2021-2022,LaLiga,Elche,Édgar Badía,es ESP,GK,29,24,24,2160,24,35,1.46,114,78,75.4,8,5,11,5,20.8,9,7,1,12.5,
2021-2022,LaLiga,Elche,Kiko Casilla,es ESP,GK,34,14,14,1260,14,17,1.21,60,43,71.7,3,4,7,3,21.4,0,0,0,,
2021-2022,LaLiga,Espanyol,Diego López,es ESP,GK,39,36,36,3177,35.3,49,1.39,157,110,70.7,10,12,14,9,25,4,3,0,0,
2021-2022,LaLiga,Espanyol,Oier Olazábal,es ESP,GK,31,2,1,135,1.5,1,0.67,9,8,100,0,0,1,1,100,1,1,0,0,
2021-2022,LaLiga,Espanyol,Joan García,es ESP,GK,20,2,1,108,1.2,3,2.5,3,0,0,0,0,1,0,0,0,0,0,,
2021-2022,LaLiga,Getafe,David Soria,es ESP,GK,28,38,38,3414,37.9,41,1.08,132,91,70.5,8,15,15,13,34.2,4,2,1,33.3,
2021-2022,LaLiga,Getafe,Diego Conde,es ESP,GK,22,1,0,6,0.1,0,0,0,0,,0,0,0,1,,0,0,0,,
2021-2022,LaLiga,Mallorca,Manolo Reina,es ESP,GK,36,21,21,1890,21,26,1.24,75,49,68,6,9,6,8,38.1,3,2,1,33.3,
2021-2022,LaLiga,Mallorca,Sergio Rico,es ESP,GK,27,14,14,1260,14,29,2.07,57,29,54.4,4,0,10,1,7.1,4,3,1,25,
2021-2022,LaLiga,Mallorca,Leonardo Román,es ESP,GK,21,2,2,180,2,5,2.5,14,10,71.4,0,0,2,0,0,1,1,0,0,
2021-2022,LaLiga,Mallorca,Dominik Greif,sk SVK,GK,24,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,,
2021-2022,LaLiga,Cádiz,Jeremías Ledesma,ar ARG,GK,28,38,38,3420,38,51,1.34,170,117,76.5,8,15,15,13,34.2,13,11,2,15.4,
2021-2022,LaLiga,Granada,Luís Maximiano,pt POR,GK,22,35,35,3136,34.8,55,1.58,177,122,71.8,8,12,15,7,20,7,5,2,28.6,
2021-2022,LaLiga,Granada,Aarón Escandell,es ESP,GK,25,4,3,284,3.2,6,1.9,16,10,75,0,2,1,1,33.3,2,2,0,0,
2021-2022,LaLiga,Levante,Rúben Vezo,pt POR,DF,27,1,1,4,26.9,0,0,0,0,,0,0,0,0,0,0,0,0,,
2021-2022,LaLiga,Levante,Cárdenas,es ESP,GK,24,24,24,2160,24,46,1.92,120,74,65,6,6,12,5,20.8,4,4,0,0,
2021-2022,LaLiga,Levante,Aitor Fernández,es ESP,GK,30,13,13,1166,13,29,2.24,81,51,65.4,1,5,7,2,15.4,2,1,1,50,
2021-2022,LaLiga,Levante,Alejandro Primo,es ESP,GK,17,1,1,90,1,1,1,2,1,50,1,0,0,0,0,0,0,0,,
2021-2022,LaLiga,Alavés,Fernando Pacheco,es ESP,GK,29,34,34,3053,33.9,60,1.77,148,85,62.8,8,5,21,5,14.7,8,5,3,37.5,
2021-2022,LaLiga,Alavés,Antonio Sivera,es ESP,GK,24,4,3,277,3.1,4,1.3,16,12,81.3,0,1,2,1,33.3,1,1,0,0,
2021-2022,LaLiga,Alavés,Jesús Owono,gq EQG,GK,20,1,1,90,1,1,1,4,3,75,0,1,0,0,0,0,0,0,,
2021-2022,Ligue1,Paris S-G,Keylor Navas,cr CRC,GK,34,21,21,1856,20.6,18,0.87,78,60,79.5,13,6,2,7,33.3,2,2,0,0,
2021-2022,Ligue1,Paris S-G,Gianluigi Donnarumma,it ITA,GK,22,17,17,1530,17,17,1,61,45,73.8,13,2,2,5,29.4,1,1,0,0,
2021-2022,Ligue1,Paris S-G,Sergio Rico,es ESP,GK,27,1,0,23,0.3,1,3.91,3,2,66.7,0,0,0,0,,0,0,0,,
2021-2022,Ligue1,Paris S-G,Alexandre Letellier,fr FRA,GK,30,1,0,8,0.1,0,0,0,0,,0,0,0,1,,0,0,0,,
2021-2022,Ligue1,Marseille,Pau López,es ESP,GK,26,29,29,2610,29,31,1.07,86,55,68.6,15,6,8,10,34.5,4,4,0,0,
2021-2022,Ligue1,Marseille,Steve Mandanda,fr FRA,GK,36,9,9,810,9,7,0.78,26,20,73.1,6,2,1,5,55.6,0,0,0,,
2021-2022,Ligue1,Monaco,Alexander Nübel,de GER,GK,24,38,38,3420,38,40,1.05,141,104,77.3,20,9,9,11,28.9,9,8,0,0,
2021-2022,Ligue1,Rennes,Alfred Gomis,sn SEN,GK,27,25,25,2250,25,25,1,67,43,68.7,14,5,6,10,40,4,4,0,0,
2021-2022,Ligue1,Rennes,Doğan Alemdar,tr TUR,GK,18,12,12,1080,12,13,1.08,36,22,66.7,6,1,5,4,33.3,2,1,1,50,
2021-2022,Ligue1,Rennes,Romain Salin,fr FRA,GK,37,1,1,90,1,2,2,3,1,33.3,0,0,1,0,0,0,0,0,,
2021-2022,Ligue1,Nice,Walter Benítez,ar ARG,GK,28,37,37,3330,37,35,0.95,141,105,78,20,7,10,14,37.8,5,4,1,20,
2021-2022,Ligue1,Nice,Marcin Bułka,pl POL,GK,21,1,1,90,1,1,1,5,4,80,0,0,1,0,0,0,0,0,,
2021-2022,Ligue1,Strasbourg,Matz Sels,be BEL,GK,29,37,37,3330,37,43,1.16,130,88,70,16,12,9,13,35.1,4,4,0,0,
2021-2022,Ligue1,Strasbourg,Eiji Kawashima,jp JPN,GK,38,1,1,90,1,0,0,1,1,100,1,0,0,1,100,0,0,0,,
2021-2022,Ligue1,Lens,Jean-Louis Leca,fr FRA,GK,35,27,27,2313,25.7,33,1.28,100,66,70,10,8,9,5,18.5,4,3,1,25,
2021-2022,Ligue1,Lens,Wuilker Faríñez,ve VEN,GK,23,13,11,1105,12.3,15,1.22,45,30,68.9,7,3,1,3,27.3,1,1,0,0,
2021-2022,Ligue1,Lyon,Anthony Lopes,pt POR,GK,30,34,34,2982,33.1,45,1.36,148,105,71.6,14,11,9,8,23.5,4,3,1,25,
2021-2022,Ligue1,Lyon,Julian Pollersbeck,de GER,GK,26,6,4,436,4.8,6,1.24,25,19,92,3,0,1,1,25,4,4,0,0,
2021-2022,Ligue1,Nantes,Alban Lafont,fr FRA,GK,22,38,38,3420,38,48,1.26,155,105,71.6,15,10,13,8,21.1,7,4,3,42.9,
2021-2022,Ligue1,Lille,Ivo Grbić,hr CRO,GK,25,21,21,1890,21,28,1.33,85,58,69.4,8,7,6,2,9.5,2,2,0,0,
2021-2022,Ligue1,Lille,Leonardo César Jardim,br BRA,GK,26,17,17,1530,17,20,1.18,62,47,74.2,6,6,5,8,47.1,5,4,1,20,
2021-2022,Ligue1,Brest,Marco Bizot,nl NED,GK,30,38,38,3420,38,57,1.5,170,115,68.8,13,9,16,7,18.4,4,4,0,0,
2021-2022,Ligue1,Reims,Predrag Rajković,rs SRB,GK,25,38,38,3420,38,44,1.16,161,116,75.8,11,13,14,11,28.9,7,5,1,16.7,
2021-2022,Ligue1,Montpellier,Jonas Omlin,ch SUI,GK,27,29,29,2587,28.7,41,1.43,158,117,75.9,10,4,15,8,27.6,4,3,1,25,
2021-2022,Ligue1,Montpellier,Dimitry Bertaud,fr FRA,GK,23,11,9,833,9.3,20,2.16,57,37,68.4,2,3,4,2,22.2,2,2,0,0,
2021-2022,Ligue1,Angers,Danijel Petković,me MNE,GK,28,15,15,1350,15,22,1.47,65,45,69.2,3,3,9,2,13.3,2,2,0,0,
2021-2022,Ligue1,Angers,Paul Bernardoni,fr FRA,GK,24,13,13,1170,13,19,1.46,46,27,65.2,4,5,4,4,30.8,3,3,0,0,
2021-2022,Ligue1,Angers,Anthony Mandrea,dz ALG,GK,24,10,10,900,10,14,1.4,44,31,68.2,3,3,4,2,20,0,0,0,,
2021-2022,Ligue1,Troyes,Gauthier Gallon,fr FRA,GK,28,31,31,2790,31,45,1.45,135,92,72.6,8,8,15,8,25.8,8,8,0,0,
2021-2022,Ligue1,Troyes,Jessy Moulin,fr FRA,GK,35,7,7,630,7,8,1.14,24,16,75,1,3,3,1,14.3,2,2,0,0,
2021-2022,Ligue1,Lorient,Paul Nardi,fr FRA,GK,27,22,22,1980,22,38,1.73,91,56,62.6,3,8,11,4,18.2,5,4,0,0,
2021-2022,Ligue1,Lorient,Matthieu Dreyer,fr FRA,GK,32,16,16,1440,16,25,1.56,57,32,57.9,5,4,7,7,43.8,1,1,0,0,
2021-2022,Ligue1,Clermont Foot,Ouparine Djoco,sn SEN,GK,23,24,23,2116,23.5,36,1.53,99,65,65.7,6,4,13,5,21.7,2,2,0,0,
2021-2022,Ligue1,Clermont Foot,Arthur Desmas,fr FRA,GK,27,15,15,1304,14.5,33,2.28,66,34,54.5,3,5,7,3,20,3,3,0,0,
2021-2022,Ligue1,Saint-Étienne,Paul Bernardoni,fr FRA,GK,24,19,19,1710,19,37,1.95,93,58,65.6,5,5,9,3,15.8,5,5,0,0,
2021-2022,Ligue1,Saint-Étienne,Etienne Green,eng ENG,GK,21,15,15,1197,13.3,27,2.03,67,42,61.2,2,5,8,1,6.7,1,1,0,0,
2021-2022,Ligue1,Saint-Étienne,Stefan Bajic,fr FRA,GK,19,7,4,510,5.7,13,2.29,29,16,62.1,0,1,3,0,0,2,2,0,0,
2021-2022,Ligue1,Metz,Alexandre Oukidja,dz ALG,GK,33,21,21,1875,20.8,39,1.87,91,54,60.4,2,8,11,3,14.3,3,3,0,0,
2021-2022,Ligue1,Metz,Marc-Aurèle Caillard,fr FRA,GK,27,19,17,1542,17.1,30,1.75,87,57,67.8,4,5,8,5,29.4,2,2,0,0,
2021-2022,Ligue1,Bordeaux,Benoît Costil,fr FRA,GK,34,25,25,2250,25,62,2.48,133,72,57.1,3,8,14,0,0,5,5,0,0,
2021-2022,Ligue1,Bordeaux,Gaëtan Poussin,fr FRA,GK,22,13,13,1170,13,29,2.23,61,32,55.7,3,5,5,2,15.4,4,2,2,50,
2021-2022,SeriaA,Milan,Mike Maignan,fr FRA,GK,26,32,32,2880,32,21,0.66,101,81,81.2,22,7,3,17,53.1,2,2,0,0,
2021-2022,SeriaA,Milan,Ciprian Tătărușanu,ro ROU,GK,35,6,6,540,6,10,1.67,24,14,66.7,4,1,1,1,16.7,3,2,1,33.3,
2021-2022,SeriaA,Inter,Samir Handanović,si SVN,GK,37,37,37,3330,37,30,0.81,124,95,79,25,9,3,15,40.5,4,4,0,0,
2021-2022,SeriaA,Inter,Ionuț Radu,ro ROU,GK,24,1,1,90,1,2,2,3,1,33.3,0,0,1,0,0,0,0,0,,
2021-2022,SeriaA,Napoli,David Ospina,co COL,GK,32,31,31,2790,31,25,0.81,106,82,77.4,19,6,6,13,41.9,1,1,0,0,
2021-2022,SeriaA,Napoli,Alex Meret,it ITA,GK,24,7,7,619,6.9,6,0.87,29,23,79.3,5,1,1,2,28.6,0,0,0,,
2021-2022,SeriaA,Napoli,Davide Marfella,it ITA,GK,21,1,0,11,0.1,0,0,1,1,100,0,0,0,1,,0,0,0,,
2021-2022,SeriaA,Juventus,Wojciech Szczęsny,pl POL,GK,31,33,33,2970,33,29,0.88,105,73,75.2,18,9,6,12,36.4,6,3,3,50,
2021-2022,SeriaA,Juventus,Mattia Perin,it ITA,GK,28,5,5,405,4.5,7,1.56,16,10,56.3,2,1,2,1,20,0,0,0,,
2021-2022,SeriaA,Juventus,Carlo Pinsoglio,it ITA,GK,31,1,0,45,0.5,1,2,2,1,100,0,0,0,0,,1,1,0,0,
2021-2022,SeriaA,Lazio,Thomas Strakosha,al ALB,GK,26,23,23,2070,23,29,1.26,86,58,67.4,12,6,5,7,30.4,1,1,0,0,
2021-2022,SeriaA,Lazio,Pepe Reina,es ESP,GK,38,15,15,1350,15,29,1.93,60,31,58.3,6,4,5,2,13.3,5,4,0,0,
2021-2022,SeriaA,Roma,Rui Patrício,pt POR,GK,33,38,38,3420,38,43,1.13,146,104,74,18,9,11,15,39.5,6,5,1,16.7,
2021-2022,SeriaA,Fiorentina,Pietro Terracciano,it ITA,GK,31,32,31,2862,31.8,43,1.35,100,58,59,16,5,10,9,29,3,2,1,33.3,
2021-2022,SeriaA,Fiorentina,Bartłomiej Drągowski,pl POL,GK,23,7,7,556,6.2,8,1.29,26,17,73.1,3,0,4,2,28.6,2,1,1,50,
2021-2022,SeriaA,Atalanta,Juan Musso,ar ARG,GK,27,33,33,2932,32.6,42,1.29,119,80,67.2,16,8,9,8,24.2,4,3,0,0,
2021-2022,SeriaA,Atalanta,Marco Sportiello,it ITA,GK,29,5,5,450,5,5,1,18,13,83.3,0,3,2,2,40,2,2,0,0,
2021-2022,SeriaA,Atalanta,Francesco Rossi,it ITA,GK,30,1,0,37,0.4,1,2.43,2,1,50,0,0,0,0,,0,0,0,,
2021-2022,SeriaA,Hellas Verona,Lorenzo Montipò,it ITA,GK,25,34,34,3060,34,50,1.47,137,88,65,13,10,11,4,11.8,3,2,1,33.3,
2021-2022,SeriaA,Hellas Verona,Ivor Pandur,hr CRO,GK,21,3,3,270,3,6,2,15,9,66.7,1,0,2,0,0,1,1,0,0,
2021-2022,SeriaA,Hellas Verona,Alessandro Berardi,it ITA,GK,30,1,1,90,1,3,3,7,4,57.1,0,1,0,0,0,0,0,0,,
2021-2022,SeriaA,Torino,Vanja Milinković-Savić,rs SRB,GK,24,27,27,2430,27,33,1.22,80,46,67.5,9,7,11,4,14.8,8,7,1,12.5,
2021-2022,SeriaA,Torino,Etrit Berisha,al ALB,GK,32,10,10,900,10,8,0.8,41,32,85.4,3,4,3,4,40,3,2,1,33.3,
2021-2022,SeriaA,Torino,Luca Gemello,it ITA,GK,21,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,,
2021-2022,SeriaA,Sassuolo,Andrea Consigli,it ITA,GK,34,37,37,3322,36.9,63,1.71,171,108,67.8,13,11,13,3,8.1,9,8,1,11.1,
2021-2022,SeriaA,Sassuolo,Gianluca Pegolo,it ITA,GK,40,1,1,90,1,3,3,5,2,40,0,0,1,0,0,0,0,0,,
2021-2022,SeriaA,Sassuolo,Giacomo Satalino,it ITA,GK,22,1,0,8,0.1,0,0,1,1,100,0,0,0,0,,0,0,0,,
2021-2022,SeriaA,Udinese,Marco Silvestri,it ITA,GK,30,35,35,3150,35,50,1.43,141,92,68.1,10,14,11,7,20,7,5,0,0,
2021-2022,SeriaA,Udinese,Daniele Padelli,it ITA,GK,35,3,3,270,3,8,2.67,21,13,61.9,1,0,2,1,33.3,0,0,0,,
2021-2022,SeriaA,Bologna,Łukasz Skorupski,pl POL,GK,30,36,36,3240,36,53,1.47,174,122,74.1,11,9,16,12,33.3,9,8,1,11.1,
2021-2022,SeriaA,Bologna,Francesco Bardi,it ITA,GK,29,2,2,177,2,2,1.02,9,7,77.8,1,1,0,0,0,0,0,0,,
2021-2022,SeriaA,Bologna,Nicola Bagnolini,it ITA,GK,17,1,0,3,0,0,0,1,1,100,0,0,0,1,,0,0,0,,
2021-2022,SeriaA,Empoli,Guglielmo Vicario,it ITA,GK,24,38,38,3420,38,70,1.84,216,150,69.9,10,11,17,7,18.4,10,5,2,28.6,
2021-2022,SeriaA,Sampdoria,Emil Audero,it ITA,GK,24,29,29,2560,28.4,48,1.69,130,82,63.8,8,5,16,5,17.2,2,1,1,50,
2021-2022,SeriaA,Sampdoria,Wladimiro Falcone,it ITA,GK,26,10,9,855,9.5,14,1.47,54,41,75.9,2,1,6,2,22.2,1,1,0,0,
2021-2022,SeriaA,Sampdoria,Nicola Ravaglia,it ITA,GK,32,1,0,5,0.1,1,18,1,0,100,0,0,0,0,,1,1,0,0,
2021-2022,SeriaA,Spezia,Ivan Provedel,it ITA,GK,27,31,31,2761,30.7,52,1.7,165,116,73.9,9,5,17,7,22.6,11,9,0,0,
2021-2022,SeriaA,Spezia,Jeroen Zoet,nl NED,GK,30,7,7,630,7,19,2.71,43,23,58.1,1,1,5,0,0,2,1,1,50,
2021-2022,SeriaA,Spezia,Petar Zovko,ba BIH,GK,19,1,0,29,0.3,0,0,0,0,,0,0,0,0,,0,0,0,,
2021-2022,SeriaA,Salernitana,Vid Belec,si SVN,GK,31,23,21,1938,21.5,49,2.28,135,87,65.9,3,2,16,1,4.8,5,3,1,25,
2021-2022,SeriaA,Salernitana,Luigi Sepe,it ITA,GK,30,16,16,1392,15.5,24,1.55,78,54,73.1,4,8,4,1,6.3,3,3,0,0,
2021-2022,SeriaA,Salernitana,Vincenzo Fiorillo,it ITA,GK,31,1,1,90,1,5,5,8,3,37.5,0,0,1,0,0,0,0,0,,
2021-2022,SeriaA,Cagliari,Alessio Cragno,it ITA,GK,27,35,35,3150,35,63,1.8,168,104,66.1,6,10,19,2,5.7,8,6,2,25,
2021-2022,SeriaA,Cagliari,Boris Radunović,rs SRB,GK,25,3,3,270,3,5,1.67,17,11,76.5,0,2,1,1,33.3,2,1,1,50,
2021-2022,SeriaA,Genoa,Salvatore Sirigu,it ITA,GK,34,37,37,3330,37,59,1.59,180,122,69.4,4,16,17,10,27,5,4,1,20,
2021-2022,SeriaA,Genoa,Adrian Šemper,hr CRO,GK,23,1,1,90,1,1,1,4,3,75,0,0,1,0,0,0,0,0,,
2021-2022,SeriaA,Venezia,Niki Mäenpää,fi FIN,GK,36,17,16,1485,16.5,27,1.64,84,57,73.8,1,4,11,1,6.3,6,5,0,0,
2021-2022,SeriaA,Venezia,Sergio Romero,ar ARG,GK,34,16,16,1440,16,33,2.06,105,74,74.3,3,4,9,3,18.8,6,6,0,0,
2021-2022,SeriaA,Venezia,Luca Lezzerini,it ITA,GK,26,6,6,495,5.5,9,1.64,39,30,76.9,2,1,3,0,0,0,0,0,,
2021-2022,EreDivisie,Ajax,Remko Pasveer,nl NED,GK,37,20,20,1800,20,4,0.2,41,37,90.2,16,2,2,17,85,0,0,0,,
2021-2022,EreDivisie,Ajax,Maarten Stekelenburg,nl NED,GK,38,7,7,630,7,3,0.43,13,10,76.9,5,2,0,5,71.4,0,0,0,,
2021-2022,EreDivisie,Ajax,André Onana,cm CMR,GK,25,6,6,540,6,10,1.67,18,8,44.4,5,0,1,0,0,0,0,0,,
2021-2022,EreDivisie,Ajax,Jay Gorter,nl NED,GK,21,1,1,90,1,2,2,6,4,66.7,0,1,0,0,0,0,0,0,,
2021-2022,EreDivisie,PSV Eindhoven,Joel Drommel,nl NED,GK,24,26,26,2340,26,32,1.23,77,47,58.4,20,2,4,7,26.9,0,0,0,,
2021-2022,EreDivisie,PSV Eindhoven,Yvon Mvogo,ch SUI,GK,27,8,8,720,8,10,1.25,38,28,78.9,6,1,1,2,25,2,2,0,0,
2021-2022,EreDivisie,Feyenoord,Justin Bijlow,nl NED,GK,23,22,22,1980,22,22,1,67,46,73.1,14,3,5,9,40.9,4,4,0,0,
2021-2022,EreDivisie,Feyenoord,Ofir Marciano,il ISR,GK,31,12,12,1080,12,12,1,40,28,70,8,2,2,4,33.3,0,0,0,,
2021-2022,EreDivisie,Twente,Lars Unnerstall,de GER,GK,31,32,32,2880,32,32,1,121,90,73.6,19,8,5,12,37.5,1,0,1,100,
2021-2022,EreDivisie,Twente,Jeffrey De Lange,nl NED,GK,23,2,2,180,2,5,2.5,11,6,54.5,1,0,1,1,50,0,0,0,,
2021-2022,EreDivisie,AZ Alkmaar,Peter Vindahl Jensen,dk DEN,GK,23,32,32,2880,32,42,1.31,129,87,67.4,17,7,8,4,12.5,0,0,0,,
2021-2022,EreDivisie,AZ Alkmaar,Hobie Verhulst,nl NED,GK,28,2,2,180,2,2,1,4,2,50,1,0,1,0,0,0,0,0,,
2021-2022,EreDivisie,Vitesse,Markus Schubert,de GER,GK,23,20,19,1755,19.5,27,1.38,72,46,66.7,8,4,7,6,31.6,3,3,0,0,
2021-2022,EreDivisie,Vitesse,Jeroen Houwen,nl NED,GK,25,15,15,1305,14.5,24,1.66,64,41,65.6,7,2,6,2,13.3,2,2,0,0,
2021-2022,EreDivisie,Utrecht,Maarten Paes,nl NED,GK,23,17,17,1530,17,23,1.35,67,44,67.2,8,4,5,5,29.4,2,1,1,50,
2021-2022,EreDivisie,Utrecht,Fabian de Keijzer,nl NED,GK,21,14,14,1214,13.5,17,1.26,58,42,74.1,4,5,5,2,14.3,2,2,0,0,
2021-2022,EreDivisie,Utrecht,Eric Oelschlägel,de GER,GK,25,4,3,316,3.5,6,1.71,16,11,62.5,0,2,1,1,33.3,0,0,0,,
2021-2022,EreDivisie,Heerenveen,Erwin Mulder,nl NED,GK,32,19,19,1665,18.5,30,1.62,81,50,69.1,7,5,7,5,26.3,6,5,1,16.7,
2021-2022,EreDivisie,Heerenveen,Xavier Mous,nl NED,GK,25,16,15,1395,15.5,20,1.29,69,50,73.9,4,3,8,3,20,2,2,0,0,
2021-2022,EreDivisie,Cambuur,Sonny Stevens,nl NED,GK,29,29,29,2601,28.9,59,2.04,164,106,64.6,11,6,12,4,13.8,2,1,0,0,
2021-2022,EreDivisie,Cambuur,Pieter Bos,nl NED,GK,24,6,5,459,5.1,11,2.16,42,31,73.8,0,0,5,0,0,0,0,0,,
2021-2022,EreDivisie,RKC Waalwijk,Etienne Vaessen,nl NED,GK,26,31,31,2790,31,45,1.45,154,108,73.4,8,11,12,5,16.1,6,4,1,20,
2021-2022,EreDivisie,RKC Waalwijk,Joel Castro Pereira,pt POR,GK,25,2,2,180,2,3,1.5,9,6,77.8,1,0,1,1,50,1,1,0,0,
2021-2022,EreDivisie,RKC Waalwijk,Issam El Maach,ma MAR,GK,21,1,1,90,1,3,3,14,11,85.7,0,0,1,0,0,1,1,0,0,
2021-2022,EreDivisie,NEC Nijmegen,Mattijs Branderhorst,nl NED,GK,27,34,34,3060,34,52,1.53,164,112,70.1,10,8,16,10,29.4,4,3,1,25,
2021-2022,EreDivisie,Groningen,Peter Leeuwenburgh,nl NED,GK,27,34,34,3060,34,55,1.62,162,109,67.3,9,9,16,4,11.8,2,2,0,0,
2021-2022,EreDivisie,Go Ahead Eag,Warner Hahn,sr SUR,GK,29,19,19,1710,19,31,1.63,106,75,74.5,6,3,10,5,26.3,4,4,0,0,
2021-2022,EreDivisie,Go Ahead Eag,Andries Noppert,nl NED,GK,27,15,15,1350,15,20,1.33,73,54,72.6,4,3,8,3,20,0,0,0,,
2021-2022,EreDivisie,Sparta R'dam,Maduka Okoye,ng NGA,GK,21,30,30,2633,29.3,40,1.37,135,94,73.3,8,9,13,6,20,5,4,1,20,
2021-2022,EreDivisie,Sparta R'dam,Tim Coremans,nl NED,GK,30,3,3,270,3,4,1.33,13,11,69.2,0,2,1,1,33.3,0,0,0,,
2021-2022,EreDivisie,Sparta R'dam,Benjamin van Leer,nl NED,GK,29,2,1,157,1.7,4,2.29,12,8,75,0,0,1,0,0,1,1,0,0,
2021-2022,EreDivisie,Fortuna Sittard,Yanick van Osch,nl NED,GK,24,32,32,2880,32,63,1.97,190,127,67.4,10,5,17,8,25,2,1,1,50,
2021-2022,EreDivisie,Fortuna Sittard,Michael Verrips,nl NED,GK,24,2,2,180,2,4,2,10,6,60,0,0,2,0,0,0,0,0,,
2021-2022,EreDivisie,Heracles Almelo,Janis Blaswich,de GER,GK,30,22,22,1980,22,29,1.32,96,67,71.9,7,4,11,5,22.7,5,2,2,50,
2021-2022,EreDivisie,Heracles Almelo,Koen Bucker,nl NED,GK,25,12,12,1080,12,20,1.67,75,55,73.3,2,3,7,3,25,0,0,0,,
2021-2022,EreDivisie,Willem II,Timon Wellenreuther,de GER,GK,25,31,31,2790,31,52,1.68,146,96,65.8,8,5,18,6,19.4,3,2,0,0,
2021-2022,EreDivisie,Willem II,Jorn Brondeel,be BEL,GK,27,2,2,104,1.2,1,0.87,7,6,85.7,1,1,0,0,0,0,0,0,,
2021-2022,EreDivisie,Willem II,Robbin Ruiter,nl NED,GK,34,1,1,90,1,4,4,9,5,55.6,0,0,1,0,0,0,0,0,,
2021-2022,EreDivisie,Willem II,Connor van den Berg,nl NED,GK,20,1,0,74,0.8,0,0,6,6,100,0,0,0,1,,0,0,0,,
2021-2022,EreDivisie,Zwolle,Kostas Lamprou,gr GRE,GK,29,34,34,3060,34,52,1.53,175,126,72,7,6,21,6,17.6,4,3,0,0,
2021-2022,PrimeiraLiga,Porto,Diogo Costa,pt POR,GK,21,33,33,2966,33,22,0.67,70,47,71.4,28,4,1,14,42.4,3,2,1,33.3,
2021-2022,PrimeiraLiga,Porto,Cláudio Ramos,pt POR,GK,29,1,1,88,1,,,1,1,,1,,,,,,,,,
2021-2022,PrimeiraLiga,Porto,Agustín Marchesín,ar ARG,GK,33,1,0,4,0,0,0,0,0,,0,0,0,1,,0,0,0,,
2021-2022,PrimeiraLiga,Porto,Francisco Meixedo,pt POR,GK,20,1,0,2,0,0,0,0,0,,0,0,0,1,,0,0,0,,
2021-2022,PrimeiraLiga,Sporting CP,Antonio Adán,es ESP,GK,34,33,33,2970,33,23,0.7,81,59,72.8,26,4,3,17,51.5,2,1,1,50,
2021-2022,PrimeiraLiga,Sporting CP,João Virgínia,pt POR,GK,21,1,1,78,0.9,,,1,1,,1,,,,,,,,,
2021-2022,PrimeiraLiga,Sporting CP,André Paulo,pt POR,GK,24,1,0,12,0.1,0,0,0,0,,0,0,0,1,,0,0,0,,
2021-2022,PrimeiraLiga,Benfica,Odisseas Vlachodimos,gr GRE,GK,27,32,32,2880,32,30,0.94,104,74,72.1,21,5,6,10,31.3,2,1,1,50,
2021-2022,PrimeiraLiga,Benfica,Helton Leite,br BRA,GK,30,2,2,180,2,0,0,5,5,100,2,0,0,2,100,0,0,0,,
2021-2022,PrimeiraLiga,Braga,Matheus,br BRA,GK,29,32,32,2880,32,28,0.87,106,79,75.5,18,8,6,15,46.9,2,2,0,0,
2021-2022,PrimeiraLiga,Braga,Lukáš Horníček,cz CZE,GK,19,1,1,90,1,3,3,11,8,72.7,0,0,1,0,0,0,0,0,,
2021-2022,PrimeiraLiga,Braga,Tiago Sá,pt POR,GK,26,1,1,90,1,0,0,1,1,100,1,0,0,1,100,0,0,0,,
2021-2022,PrimeiraLiga,Gil Vicente FC,Žiga Frelih,si SVN,GK,23,19,19,1710,19,23,1.21,74,50,74.3,7,7,5,5,26.3,5,4,1,20,
2021-2022,PrimeiraLiga,Gil Vicente FC,Andrew,br BRA,GK,20,10,10,900,10,14,1.4,45,33,75.6,4,4,2,4,40,3,3,0,0,
2021-2022,PrimeiraLiga,Gil Vicente FC,Stanislav Kritsyuk,ru RUS,GK,30,4,4,360,4,3,0.75,21,18,85.7,2,0,2,2,50,0,0,0,,
2021-2022,PrimeiraLiga,Gil Vicente FC,Brian Araújo,fr FRA,GK,21,1,1,90,1,2,2,5,3,80,0,1,0,0,0,1,1,0,0,
2021-2022,PrimeiraLiga,Vitória,Bruno Varela,pt POR,GK,26,25,25,2250,25,31,1.24,110,78,76.4,11,5,9,4,16,6,5,1,16.7,
2021-2022,PrimeiraLiga,Vitória,Matouš Trmal,cz CZE,GK,22,9,9,810,9,10,1.11,34,24,70.6,2,4,3,4,44.4,1,0,0,,
