Total_Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_mid_3rd,Tackles_Att_3rd,Drib_Tackled,Drib_Tackle_Lost,Total_Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Clearance,Errors_to_shot,Key
41,33,28,10,3,20,12,17,7,10,28,95,0,2017-2018_jonjoekenny
23,16,15,7,1,10,11,12,9,3,23,86,2,2017-2018_masonholgate
27,19,12,13,2,7,8,9,0,9,8,12,0,2017-2018_theowalcott
14,14,9,3,2,6,5,16,12,4,10,29,2,2017-2018_seamuscoleman
6,3,2,2,2,1,10,9,4,5,1,13,0,2017-2018_cenktosun
8,7,4,1,3,2,5,5,0,5,4,8,0,2017-2018_yannickbolasie
10,6,2,5,3,4,15,3,2,1,2,6,0,2017-2018_oumarniasse
17,10,10,5,2,5,16,13,1,12,11,9,0,2017-2018_aaronlennon
9,5,3,6,0,2,7,14,2,12,9,10,0,2017-2018_nikolavlasic
2,1,0,1,1,0,3,1,0,1,1,0,0,2017-2018_sandroramirez
3,1,1,2,0,2,4,2,1,1,1,2,0,2017-2018_davyklaassen
9,9,3,4,2,1,4,9,2,7,5,3,1,2017-2018_jamesmccarthy
4,3,1,2,1,0,1,0,0,0,0,3,0,2017-2018_kevinmirallas
2,1,1,1,0,0,0,0,0,0,1,4,1,2017-2018_eliaquimmangala
6,2,1,2,3,0,4,5,1,4,2,2,0,2017-2018_benibaningime
1,1,0,1,0,0,2,2,0,2,1,3,0,2017-2018_ademolalookman
0,0,0,0,0,0,0,1,1,0,3,14,0,2017-2018_ramirofunesmori
1,1,1,0,0,1,2,2,2,0,0,1,0,2017-2018_muhamedbesic
63,46,47,15,1,26,17,35,28,7,48,181,1,2017-2018_harrymaguire
15,9,3,7,5,1,7,21,1,20,2,17,0,2017-2018_jamievardy
39,27,16,17,6,10,53,32,1,31,18,15,0,2017-2018_riyadmahrez
1,0,1,0,0,1,2,1,0,1,0,18,5,2017-2018_kasperschmeichel
138,89,68,65,5,45,74,67,10,57,51,103,2,2017-2018_wilfredndidi
35,25,26,8,1,12,6,41,27,14,31,146,1,2017-2018_wesmorgan
52,33,16,29,7,16,36,32,4,28,27,34,0,2017-2018_marcalbrighton
38,22,31,6,1,22,23,31,19,12,34,132,1,2017-2018_dannysimpson
41,27,25,12,4,14,26,23,3,20,58,86,0,2017-2018_christianfuchs
36,26,21,10,5,15,17,31,4,27,28,71,3,2017-2018_benchilwell
17,15,6,9,2,4,19,27,0,27,11,14,1,2017-2018_demaraigray
23,18,13,10,0,9,27,25,11,14,19,49,1,2017-2018_vicenteiborra
25,16,3,18,4,4,24,15,1,14,8,6,0,2017-2018_shinjiokazaki
19,10,7,11,1,2,8,14,2,12,17,25,0,2017-2018_mattyjames
22,13,8,13,1,6,22,12,2,10,14,0,0,2017-2018_adriensilva
9,6,3,5,1,3,17,10,2,8,3,4,0,2017-2018_kelechiiheanacho
13,10,13,0,0,7,6,16,8,8,16,46,0,2017-2018_aleksandardragovic
8,4,7,1,0,3,4,7,3,4,7,21,1,2017-2018_danielamartey
9,6,5,3,1,1,3,6,0,6,8,8,0,2017-2018_foussenidiabate
8,5,0,5,3,0,3,4,2,2,5,13,0,2017-2018_andyking
9,5,6,3,0,2,8,12,1,11,8,4,0,2017-2018_hamzachoudhury
0,0,0,0,0,0,1,0,0,0,0,3,1,2017-2018_benhamer
2,2,1,1,0,1,3,2,0,2,0,2,0,2017-2018_islamslimani
0,0,0,0,0,0,0,0,0,0,0,4,0,2017-2018_eldinjakupovic
7,3,6,1,0,4,2,1,1,0,1,4,0,2017-2018_yohanbenalouane
1,0,0,0,1,0,0,0,0,0,0,1,0,2017-2018_leonardoulloa
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_harveybarnes
31,19,19,11,1,12,7,33,24,9,28,232,1,2017-2018_jamaallascelles
46,32,22,18,6,14,39,37,5,32,35,63,1,2017-2018_mattritchie
57,33,39,14,4,26,28,37,7,30,44,114,0,2017-2018_deandreyedlin
39,21,11,15,13,12,42,36,1,35,24,28,0,2017-2018_ayozeperez
39,24,17,21,1,8,18,26,5,21,28,33,0,2017-2018_jonjoshelvey
34,20,26,8,0,14,16,21,15,6,46,154,0,2017-2018_florianlejeune
89,64,33,48,8,16,46,44,7,37,48,30,2,2017-2018_mohameddiame
12,10,2,8,2,1,20,16,2,14,6,17,0,2017-2018_dwightgayle
36,22,25,8,3,15,15,25,6,19,18,65,0,2017-2018_javiermanquillo
17,16,10,7,0,7,13,35,5,30,13,27,1,2017-2018_christianatsu
25,17,17,8,0,11,10,15,10,5,17,144,1,2017-2018_ciaranclark
22,17,10,11,1,7,27,25,2,23,11,39,0,2017-2018_joselu
28,19,21,7,0,13,14,27,10,17,23,107,1,2017-2018_pauldummett
0,0,0,0,0,0,1,0,0,0,0,8,0,2017-2018_robelliot
40,23,23,16,1,12,22,21,6,15,23,43,0,2017-2018_isaachayden
56,40,21,32,3,17,39,36,8,28,34,25,0,2017-2018_mikelmerino
13,10,5,4,4,7,20,16,0,16,6,13,2,2017-2018_jacobmurphy
31,17,16,13,2,12,23,12,1,11,14,11,0,2017-2018_kenedy
0,0,0,0,0,0,0,0,0,0,0,3,2,2017-2018_martindubravka
0,0,0,0,0,0,0,0,0,0,0,3,4,2017-2018_karldarlow
16,12,13,3,0,10,7,7,3,4,15,44,1,2017-2018_chancelmbemba
4,4,3,1,0,4,2,3,0,3,1,0,0,2017-2018_rolandoaarons
0,0,0,0,0,0,2,0,0,0,1,1,0,2017-2018_islamslimani
4,2,1,0,3,1,2,2,0,2,2,5,0,2017-2018_jesusgamez
5,3,4,1,0,2,3,0,0,0,4,8,1,2017-2018_henrisaivet
1,1,0,1,0,0,1,1,0,1,0,2,0,2017-2018_aleksandarmitrovic
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_massadiohaidara
60,34,35,12,13,24,51,49,1,48,35,28,0,2017-2018_androstownsend
85,52,40,37,8,31,55,50,12,38,71,81,3,2017-2018_lukamilivojevic
30,23,9,13,8,4,19,24,0,24,7,4,0,2017-2018_wilfriedzaha
70,44,39,28,3,24,73,47,4,43,79,29,4,2017-2018_yohancabaye
58,44,28,27,3,23,38,39,2,37,36,44,2,2017-2018_jamesmcarthur
0,0,0,0,0,0,0,1,0,1,2,5,1,2017-2018_waynehennessey
47,26,36,10,1,16,15,24,12,12,63,216,1,2017-2018_jamestomkins
47,32,29,15,3,16,18,24,5,19,47,64,2,2017-2018_patrickvanaanholt
11,4,3,7,1,2,15,15,3,12,3,44,0,2017-2018_christianbenteke
21,15,7,13,1,7,23,19,2,17,22,31,0,2017-2018_rubenloftus-cheek
57,36,35,20,2,23,20,34,8,26,24,67,0,2017-2018_jeffreyschlupp
35,30,23,12,0,16,12,27,11,16,28,76,0,2017-2018_joelward
21,14,15,5,1,9,7,19,11,8,30,101,3,2017-2018_mamadousakho
42,33,33,8,1,21,13,17,9,8,31,74,1,2017-2018_timothyfosu-mensah
10,5,8,2,0,7,10,17,14,3,23,98,1,2017-2018_scottdann
19,13,15,4,0,14,12,16,11,5,9,67,3,2017-2018_martinkelly
0,0,0,0,0,0,0,0,0,0,1,4,0,2017-2018_juliansperoni
30,19,20,7,3,15,4,18,7,11,15,45,0,2017-2018_aaronwan-bissaka
13,4,3,7,3,1,4,3,0,3,5,4,0,2017-2018_jasonpuncheon
7,6,5,0,2,2,7,2,0,2,1,2,0,2017-2018_bakarysako
11,8,6,4,1,0,2,7,1,6,12,13,0,2017-2018_jairoriedewald
6,3,1,4,1,4,8,5,0,5,2,5,0,2017-2018_alexandersrloth
2,0,0,1,1,0,0,3,0,3,2,0,1,2017-2018_leechung-yong
2,1,2,0,0,1,0,5,4,1,3,7,0,2017-2018_damiendelaney
1,1,1,0,0,0,0,0,0,0,1,0,0,2017-2018_levilumeka
