SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Key
95,2.86,86,0,4,3,0,2,8,0.24,7,0,0,1,0,0,2017-2018_ngolokante
81,2.55,64,5,2,6,3,1,7,0.22,7,0,0,0,0,0,2017-2018_marcosalonso
205,7.61,143,8,31,6,17,0,19,0.71,11,0,5,1,2,0,2017-2018_edenhazard
18,0.69,16,0,0,2,0,0,4,0.15,4,0,0,0,0,0,2017-2018_antoniorudiger
168,6.56,110,49,2,5,0,2,13,0.51,8,5,0,0,0,0,2017-2018_cescfabregas
49,2.09,35,0,7,2,5,0,7,0.3,4,0,0,0,3,0,2017-2018_victormoses
45,1.91,37,0,2,3,1,2,6,0.25,6,0,0,0,0,0,2017-2018_tiemouebakayoko
7,0.3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,2017-2018_garycahill
83,3.63,59,2,6,8,8,0,8,0.35,7,0,0,0,1,0,2017-2018_alvaromorata
17,0.74,14,0,0,2,0,1,2,0.09,2,0,0,0,0,0,2017-2018_andreaschristensen
132,6.29,85,16,17,4,9,1,14,0.67,8,2,2,1,1,0,2017-2018_willian
65,3.84,52,1,4,5,2,1,2,0.12,2,0,0,0,0,0,2017-2018_pedro
25,2.05,21,1,2,1,0,0,4,0.33,3,0,1,0,0,0,2017-2018_davidezappacosta
7,0.75,6,0,0,0,1,0,3,0.32,2,0,0,0,1,0,2017-2018_davidluiz
21,3.08,19,0,0,2,0,0,1,0.15,1,0,0,0,0,0,2017-2018_oliviergiroud
13,2.22,11,0,1,1,0,0,0,0,0,0,0,0,0,0,2017-2018_dannydrinkwater
9,2.25,7,0,1,1,0,0,2,0.5,2,0,0,0,0,0,2017-2018_michybatshuayi
2,0.64,1,0,0,0,0,1,1,0.32,1,0,0,0,0,0,2017-2018_emersonpalmieri
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_willycaballero
4,2.79,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2017-2018_rossbarkley
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_jeremieboga
1,2.43,1,0,0,0,0,0,1,2.43,1,0,0,0,0,0,2017-2018_charlymusondajr.
2,6.21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2017-2018_callumhudson-odoi
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_ethanampadu
113,3.12,85,19,3,3,1,2,18,0.5,11,5,0,1,0,1,2017-2018_granitxhaka
85,2.51,76,2,1,2,3,1,8,0.24,7,0,0,1,0,0,2017-2018_hectorbellerin
3,0.09,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_petrcech
29,1.16,23,1,1,3,1,0,2,0.08,2,0,0,0,0,0,2017-2018_nachomonreal
95,3.88,59,0,13,12,10,1,13,0.53,7,0,0,4,1,1,2017-2018_alexandrelacazette
18,0.71,15,1,0,1,0,1,2,0.08,2,0,0,0,0,0,2017-2018_shkodranmustafi
16,0.65,15,0,1,0,0,0,0,0,0,0,0,0,0,0,2017-2018_laurentkoscielny
50,2.1,41,3,3,2,1,0,6,0.25,6,0,0,0,0,0,2017-2018_seadkolasinac
161,6.7,133,17,5,4,2,0,17,0.71,10,3,1,2,1,0,2017-2018_mesutozil
82,4.03,70,1,5,4,2,0,12,0.59,11,0,0,1,0,0,2017-2018_alexiwobi
63,3.07,53,0,4,3,3,0,13,0.63,10,0,1,0,2,0,2017-2018_aaronramsey
122,7.31,78,6,14,13,11,0,14,0.84,8,0,3,2,1,0,2017-2018_alexissanchez
