Touches,TouchesDef Pen,TouchesDef 3rd,TouchesMid 3rd,TouchesAtt 3rd,TouchesAtt Pen,TouchesLive,DribblesAtt,DribbleSucc,DribbleSucc%,DribbleTkld,Carries,TotDist,ProgressivegDist,ProgressiveCarries,ProgressiveFinalThird,CarriesPenArea,Miscontrolled,Dispossed,Recievd ,ProgressiveReceive,Key
1576,11,71,696,829,183,1575,73,49,67.1,24,936,5044,2271,91,55,40,80,71,1203,305,2017-2018_robertofirmino
1274,10,76,514,702,133,1274,86,55,64,31,911,6119,2959,112,77,46,69,48,1077,270,2017-2018_sadiomane
1475,19,195,956,350,42,1475,55,42,76.4,13,935,5136,2318,49,35,3,34,36,1092,84,2017-2018_georginiowijnaldum
2288,34,329,1626,351,17,2288,15,8,53.3,7,1209,5362,2428,32,34,3,15,12,1650,37,2017-2018_jordanhenderson
2073,120,922,1107,51,23,2073,1,0,0,1,1168,5589,3411,20,11,1,7,0,1450,7,2017-2018_dejanlovren
1821,52,343,1177,328,32,1821,32,24,75,8,1084,7084,4252,84,56,9,30,15,1266,48,2017-2018_emrecan
1883,118,761,1065,62,21,1883,4,3,75,1,1077,5554,4057,23,22,1,11,5,1346,5,2017-2018_joelmatip
1853,60,376,898,598,46,1853,17,9,52.9,8,1063,5265,2984,76,50,10,22,12,1282,214,2017-2018_andrewrobertson
1808,54,422,1085,314,8,1808,26,23,88.5,3,829,4322,2611,54,36,2,16,13,1083,65,2017-2018_joegomez
653,549,652,1,0,0,653,0,0,,0,285,1402,860,0,0,0,0,1,330,0,2017-2018_loriskarius
637,510,634,5,0,0,637,1,1,100,0,291,1602,978,0,0,0,0,0,304,0,2017-2018_simonmignolet
1487,39,374,718,409,28,1487,33,20,60.6,13,743,3232,1791,39,38,9,18,13,910,126,2017-2018_trentalexander-arnold
1826,39,197,1086,559,43,1826,16,12,75,4,1062,4925,2596,59,45,8,21,21,1353,163,2017-2018_jamesmilner
1359,88,606,723,36,6,1359,5,4,80,1,810,4692,2854,15,8,0,8,2,989,5,2017-2018_ragnarklavan
989,13,92,482,433,46,989,54,40,74.1,13,563,4046,2194,76,54,16,37,24,679,122,2017-2018_alexoxlade-chamberlain
1087,31,291,536,273,15,1087,9,6,66.7,3,501,2290,1261,32,19,2,7,4,683,81,2017-2018_albertomoreno
1285,73,459,787,44,17,1285,1,0,0,1,737,3682,2206,11,8,1,2,2,906,6,2017-2018_virgilvandijk
902,3,49,428,436,34,902,60,39,65,21,629,4482,2464,69,55,16,19,26,708,94,2017-2018_philippecoutinho
306,9,16,120,176,53,306,14,9,64.3,5,184,843,345,15,15,5,34,17,236,48,2017-2018_dominicsolanke
174,2,3,60,114,29,174,11,10,90.9,1,125,680,319,11,7,5,12,11,156,53,2017-2018_danielsturridge
