GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Save%.1,Matches,Key
4,1.41,16,12,81.3,1,0,1,1,50,1,1,0,0,,2017-2018_seydousy
0,0,6,6,100,2,0,0,3,150,0,0,0,,,2017-2018_diegobenaglio
37,1.09,137,101,76.6,21,8,5,14,41.2,8,5,2,28.6,,2017-2018_anthonylopes
6,1.5,13,7,53.8,2,1,1,1,25,0,0,0,,,2017-2018_mathieugorgelin
37,1.23,114,77,70.2,18,9,4,11,35.5,5,3,1,25,,2017-2018_stevemandanda
10,1.26,27,18,66.7,4,2,1,3,42.9,1,1,0,0,,2017-2018_yohannpele
36,1.06,127,91,73.2,16,8,10,10,29.4,5,2,2,50,,2017-2018_tomaskoubek
5,1.67,15,10,73.3,0,2,1,0,0,1,1,0,0,,2017-2018_abdoulayediallo
3,3,6,3,83.3,0,0,1,0,0,2,2,0,0,,2017-2018_raismbolhi
45,1.25,123,75,66.7,16,7,13,10,27.8,8,4,4,50,,2017-2018_benoitcostil
3,1.5,9,6,66.7,0,0,2,0,0,0,0,0,,,2017-2018_jeromeprior
44,1.27,150,106,74,14,10,11,12,34.3,6,5,1,16.7,,2017-2018_stephaneruffier
6,1.78,29,23,82.8,1,0,2,1,33.3,1,1,0,0,,2017-2018_jessymoulin
36,1.29,113,76,70.8,12,8,8,7,25,5,3,2,40,,2017-2018_walterbenitez
16,1.6,41,26,61,3,1,6,3,30,0,0,0,,,2017-2018_yoancardinale
38,1.03,133,96,72.9,14,10,13,12,32.4,3,2,0,0,,2017-2018_cipriantatarusanu
3,3,5,2,60,0,0,1,0,0,1,1,0,0,,2017-2018_maximedupe
33,0.87,117,84,76.1,11,18,9,14,36.8,6,5,0,0,,2017-2018_benjaminlecomte
73,1.92,201,128,69.2,13,9,16,5,13.2,14,11,3,21.4,,2017-2018_baptistereynet
59,1.55,171,111,68.4,12,11,15,11,28.9,7,5,2,28.6,,2017-2018_karl-johanjohnsson
41,1.11,171,130,78.4,12,9,16,11,29.7,4,4,0,0,,2017-2018_regisgurtner
1,1,7,6,85.7,0,0,1,0,0,0,0,0,,,2017-2018_jean-christophebouet
22,1.2,68,48,72.1,6,5,8,4,21.1,3,3,0,0,,2017-2018_ludovicbutelle
17,1.31,44,28,65.9,2,7,4,1,7.7,2,2,0,0,,2017-2018_alexandreletellier
13,1.96,26,14,57.7,1,2,3,1,16.7,2,2,0,0,,2017-2018_mathieumichel
32,1.7,86,54,65.1,4,6,9,2,10.5,2,2,0,0,,2017-2018_bingouroukamara
29,1.79,71,41,64.8,3,5,8,2,12.5,5,4,1,20,,2017-2018_alexandreoukidja
6,1.99,17,11,64.7,2,0,1,0,0,0,0,0,,,2017-2018_landrybonnefoi
48,1.39,132,88,66.7,9,7,19,11,31.4,4,4,0,0,,2017-2018_remyvercoutre
4,1.14,19,15,84.2,1,1,1,2,66.7,1,1,0,0,,2017-2018_bricesamba
53,1.57,160,107,68.8,10,7,17,5,14.7,5,3,2,40,,2017-2018_mikemaignan
2,10.59,3,1,66.7,0,0,0,0,,1,1,0,0,,2017-2018_ibrahimamadou
11,2.75,20,10,50,0,1,3,0,0,1,1,0,0,,2017-2018_hervekoffi
1,8.18,2,1,50,0,0,0,0,,0,0,0,,,2017-2018_nicolasdepreville
54,1.42,158,106,69.6,9,10,19,12,31.6,6,6,0,0,,2017-2018_albanlafont
31,1.48,101,70,71.3,6,3,12,5,23.8,3,2,1,33.3,,2017-2018_mamadousamassa
28,1.65,92,64,71.7,3,3,11,3,17.6,2,2,0,0,,2017-2018_erwinzelazny
60,2.1,167,106,64.1,5,7,17,2,6.9,2,0,2,100,,2017-2018_eijikawashima
14,1.56,35,22,68.6,1,1,7,2,22.2,3,3,0,0,,2017-2018_thomasdidillon
2,4.74,4,2,50,0,0,0,0,,0,0,0,,,2017-2018_quentinbeunardeau
14,0.68,56,43,80.4,17,2,2,11,52.4,4,3,1,25,,2017-2018_gianluigibuffon
9,0.53,33,24,72.7,13,3,1,11,64.7,0,0,0,,,2017-2018_wojciechszczesny
1,3.21,2,1,50,0,0,0,0,,0,0,0,,,2017-2018_carlopinsoglio
29,0.78,97,68,72.2,28,6,3,18,48.6,2,2,0,0,,2017-2018_pepereina
0,0,1,1,100,0,1,0,1,100,0,0,0,,,2017-2018_luigisepe
28,0.76,135,105,81.5,22,8,7,17,45.9,5,3,2,40,,2017-2018_alisson
0,0,3,3,100,1,0,0,1,100,0,0,0,,,2017-2018_ukaszskorupski
30,0.79,117,91,76.1,20,12,6,17,44.7,2,2,0,0,,2017-2018_samirhandanovic
49,1.29,159,111,74.8,21,9,8,11,28.9,10,9,1,10,,2017-2018_thomasstrakosha
42,1.11,132,91,69.7,18,10,10,12,31.6,3,2,0,0,,2017-2018_gianluigidonnarumma
34,1.1,99,64,66.7,13,10,8,8,25.8,2,1,1,50,,2017-2018_etritberisha
4,0.58,17,13,76.5,3,2,2,3,42.9,0,0,0,,,2017-2018_pierluigigollini
1,11.25,2,1,50,0,0,0,0,,0,0,0,,,2017-2018_francescorossi
38,1.07,131,92,72.5,16,9,12,14,37.8,3,2,1,33.3,,2017-2018_marcosportiello
8,3.32,17,9,52.9,0,0,1,0,0,0,0,0,,,2017-2018_bartomiejdragowski
45,1.22,158,110,74.7,12,15,10,10,27,8,5,3,37.5,,2017-2018_salvatoresirigu
1,1,2,1,50,1,0,0,0,0,0,0,0,,,2017-2018_vanjamilinkovic-savic
43,1.59,132,87,68.9,11,4,12,6,22.2,6,2,4,66.7,,2017-2018_emilianoviviano
12,1.33,53,41,83,5,2,2,3,33.3,3,3,0,0,,2017-2018_christianpuggioni
5,2.5,15,10,73.3,0,0,2,0,0,1,1,0,0,,2017-2018_vidbelec
58,1.57,172,114,67.4,11,10,16,10,27,3,2,1,33.3,,2017-2018_andreaconsigli
1,0.87,6,6,83.3,0,0,1,0,0,0,0,0,,,2017-2018_gianlucapegolo
42,1.14,167,127,77.2,11,8,18,12,32.4,4,4,0,0,,2017-2018_mattiaperin
1,1,3,2,66.7,0,0,1,0,0,0,0,0,,,2017-2018_eugeniolamanna
59,1.55,187,129,70.6,10,10,18,7,18.4,7,4,3,42.9,,2017-2018_stefanosorrentino
52,1.62,143,92,65,11,4,17,8,25,5,2,2,50,,2017-2018_albanobizzarri
11,1.83,27,16,59.3,1,0,5,1,16.7,1,0,1,100,,2017-2018_simonescuffet
46,1.39,144,101,69.4,10,5,18,7,21.2,3,2,0,0,,2017-2018_antoniomirante
5,1.25,17,12,76.5,1,0,3,1,25,1,1,0,0,,2017-2018_angelodacostajunior
1,1,5,4,80,0,1,0,0,0,0,0,0,,,2017-2018_antoniosanturro
47,1.67,130,82,68.5,7,5,17,7,24.1,10,6,2,25,,2017-2018_alessiocragno
11,1.25,39,28,74.4,4,1,3,1,12.5,1,1,0,0,,2017-2018_rafael
3,3,3,0,33.3,0,0,1,0,0,1,1,0,0,,2017-2018_lucacrosta
