GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Save%.1,Matches,Key
6,1.24,21,15,71.4,2,0,2,2,50,0,0,0,,,2019-2020_davidmartin
5,2.5,11,6,63.6,0,1,1,0,0,1,1,0,0,,2019-2020_darrenrandolph
35,1.76,102,68,68.6,6,3,11,4,20,3,3,0,0,,2019-2020_tomheaton
20,1.67,53,32,66,3,3,6,2,16.7,3,2,1,33.3,,2019-2020_pepereina
12,2,27,15,55.6,0,2,3,1,20,0,0,0,,,2019-2020_rjannyland
,,,,,,,1,,,,,,,,2019-2020_jedsteer
62,1.68,187,124,69.5,9,7,21,5,13.5,6,5,1,16.7,,2019-2020_aaronramsdale
3,3,5,2,40,0,0,1,0,0,0,0,0,,,2019-2020_marktravers
64,1.68,178,116,68.5,8,10,20,9,23.7,9,8,1,11.1,,2019-2020_benfoster
68,1.89,195,128,66.7,5,6,25,5,13.9,5,3,2,40,,2019-2020_timkrul
6,3.4,13,6,53.8,0,0,1,0,0,1,0,1,100,,2019-2020_michaelmcgovern
1,4.29,2,1,100,,,1,,,,1,,,,2019-2020_ralffahrmann
31,0.94,110,79,74.5,25,4,4,15,45.5,4,3,1,25,,2019-2020_manuelneuer
1,1,3,2,66.7,1,0,0,0,0,0,0,0,,,2019-2020_svenulreich
40,1.3,95,58,61.1,19,5,7,12,38.7,3,3,0,0,,2019-2020_romanburki
1,0.31,7,6,85.7,2,1,0,3,100,0,0,0,,,2019-2020_marwinhitz
34,1.06,116,82,72.4,16,12,4,10,31.3,2,2,0,0,,2019-2020_petergulacsi
3,1.5,5,2,40,2,0,0,0,0,0,0,0,,,2019-2020_yvonmvogo
40,1.18,158,117,75.3,20,5,9,7,20.6,2,1,1,50,,2019-2020_yannsommer
44,1.29,143,99,70.6,19,6,9,10,29.4,2,2,0,0,,2019-2020_lukashradecky
49,1.63,146,97,69.9,13,7,10,7,23.3,7,5,2,28.6,,2019-2020_oliverbaumann
4,1,21,17,85.7,2,0,2,1,25,1,1,0,0,,2019-2020_philipppentke
38,1.46,105,67,67.6,11,6,9,5,19.2,4,4,0,0,,2019-2020_koencasteels
8,1,37,30,81.1,2,4,2,3,37.5,1,1,0,0,,2019-2020_pavaopervan
32,1.38,118,86,75.4,9,6,9,4,16.7,3,3,0,0,,2019-2020_alexanderschwolow
14,1.4,69,55,79.7,4,3,3,3,30,1,0,0,,,2019-2020_markflekken
1,1.3,4,3,75,0,0,0,0,,0,0,0,,,2019-2020_niclasthiede
38,1.73,105,69,64.8,11,3,8,4,18.2,1,1,0,0,,2019-2020_kevintrapp
14,1.56,49,35,75.5,2,3,4,1,11.1,2,2,0,0,,2019-2020_frederikrnnow
8,2.67,20,12,60,0,0,3,0,0,0,0,0,,,2019-2020_felixwiedwald
46,1.63,143,99,72.7,11,5,13,9,31,7,7,0,0,,2019-2020_runejarstein
9,2.25,19,10,52.6,0,3,1,0,0,0,0,0,,,2019-2020_thomaskraft
4,2.38,11,7,63.6,0,0,1,0,0,0,0,0,,,2019-2020_dennissmarsch
54,1.64,159,105,67.9,12,5,16,8,24.2,4,3,1,25,,2019-2020_rafagikiewicz
4,4,8,4,50,0,0,1,0,0,0,0,0,,,2019-2020_moritznicolas
40,1.56,118,80,69.5,8,9,9,5,19.2,4,4,0,0,,2019-2020_alexandernubel
18,2.18,55,37,70.9,1,3,4,2,25,2,2,0,0,,2019-2020_markusschubert
40,1.86,115,75,66.1,8,2,12,3,13.6,2,1,1,50,,2019-2020_robinzentner
25,2,66,40,65.2,3,2,7,2,16.7,3,2,1,33.3,,2019-2020_florianmuller
69,2.03,156,87,58.3,10,6,18,6,17.6,6,4,2,33.3,,2019-2020_timohorn
51,2.12,122,72,58.2,6,6,12,4,16.7,1,0,1,100,,2019-2020_tomaskoubek
12,1.2,33,22,63.6,3,3,4,3,30,0,0,0,,,2019-2020_andreasluthe
67,2.03,169,105,60.9,8,6,19,4,12.1,1,1,0,0,,2019-2020_jiripavlenka
2,2,5,3,60,0,1,0,0,0,0,0,0,,,2019-2020_stefanoskapino
31,1.82,78,49,62.8,2,9,6,2,11.8,3,2,1,33.3,,2019-2020_floriankastenmeier
36,2.12,99,63,64.6,4,3,10,2,11.8,2,1,1,50,,2019-2020_zacksteffen
57,2.04,152,96,64.5,4,7,17,5,17.9,4,3,1,25,,2019-2020_leopoldzingerle
17,2.83,33,16,51.5,0,1,5,0,0,1,1,0,0,,2019-2020_jannikhuth
20,0.59,96,76,79.2,23,8,3,18,52.9,0,0,0,,,2019-2020_thibautcourtois
5,1.25,14,9,78.6,3,1,0,1,25,2,2,0,0,,2019-2020_alphonseareola
36,1,116,79,74.1,24,6,6,14,38.9,7,6,1,14.3,,2019-2020_marc-andreterstegen
2,1,3,1,33.3,1,1,0,1,50,0,0,0,,,2019-2020_neto
27,0.72,111,87,78.4,18,16,4,17,44.7,4,3,0,0,,2019-2020_janoblak
0,0,1,1,100,0,0,0,0,,0,0,0,,,2019-2020_antonioadan
31,0.95,96,65,69.8,15,12,6,12,36.4,3,2,1,33.3,,2019-2020_tomasvaclik
3,0.55,20,17,90,4,1,0,4,80,1,1,0,0,,2019-2020_yassinebounou
41,1.21,145,104,75.2,17,4,13,11,32.4,6,5,1,16.7,,2019-2020_sergioasenjo
8,2,19,12,73.7,1,2,1,1,25,3,3,0,0,,2019-2020_andresfernandez
32,1.28,93,60,73.1,11,4,10,6,24,8,7,1,12.5,,2019-2020_alexremiro
16,1.23,51,36,68.6,5,4,4,3,23.1,1,0,0,,,2019-2020_miguelangelmoya
42,1.2,142,99,73.2,15,8,12,12,34.3,5,4,1,20,,2019-2020_ruisilva
3,1,14,11,78.6,1,0,2,1,33.3,0,0,0,,,2019-2020_aaronescandell
37,0.97,109,73,70.6,14,12,12,15,39.5,6,5,1,16.7,,2019-2020_davidsoria
30,1.29,109,78,78,10,7,7,5,20.8,8,6,2,25,,2019-2020_jaspercillessen
23,1.56,81,58,72.8,4,4,6,3,21.4,1,1,0,0,,2019-2020_jaumedomenech
27,1.47,80,53,67.5,7,3,8,7,38.9,1,1,0,0,,2019-2020_sergioherrera
24,1.36,54,30,61.1,5,9,4,4,22.2,3,3,0,0,,2019-2020_ruben
3,1.5,9,6,77.8,1,1,0,0,0,1,1,0,0,,2019-2020_juanperez
29,0.87,109,82,78,13,9,12,12,35.3,7,5,0,0,,2019-2020_unaisimon
9,1.91,19,10,52.6,0,3,1,0,0,0,0,0,,,2019-2020_iagoherrerin
51,1.42,205,153,76.6,12,7,17,5,13.9,5,3,2,40,,2019-2020_aitorfernandez
2,1,10,8,80,2,0,0,1,50,1,0,0,,,2019-2020_kokevegas
39,1.11,125,85,73.6,8,15,12,11,31.4,7,6,1,14.3,,2019-2020_jordimasip
3,1.11,13,10,76.9,1,0,2,1,33.3,0,0,0,,,2019-2020_churripi
1,3.46,1,0,100,0,0,0,0,,1,1,0,0,,2019-2020_samuperez
51,1.46,122,71,61.5,9,9,17,10,28.6,5,4,1,20,,2019-2020_markodmitrovic
5,1.67,16,10,68.8,2,0,1,1,25,1,0,1,100,,2019-2020_yoel
48,1.5,130,83,71.5,9,11,13,5,15.2,11,11,0,0,,2019-2020_joelrobles
12,2.03,24,12,50,1,0,4,1,20,0,0,0,,,2019-2020_danielmartin
37,1.41,102,62,71.6,7,7,13,6,22.2,11,8,3,27.3,,2019-2020_fernandopacheco
19,2.16,54,35,70.4,2,1,5,2,25,3,3,0,0,,2019-2020_roberto
3,1,5,2,60,1,1,1,1,33.3,1,1,0,0,,2019-2020_antoniosivera
43,1.31,135,92,71.9,6,14,13,10,30.3,5,5,0,0,,2019-2020_rubenblanco
5,1.61,11,6,54.5,0,1,2,1,33.3,0,0,0,,,2019-2020_ivanvillar
1,0.5,3,2,66.7,1,1,0,1,25,0,0,0,,,2019-2020_sergioalvarez
33,1.22,99,65,67.7,7,9,11,7,25.9,2,1,1,50,,2019-2020_ivancuellar
18,1.64,39,22,66.7,1,3,7,1,9.1,5,5,0,0,,2019-2020_juansoriano
60,1.67,179,119,74.3,9,5,22,5,13.9,15,14,1,6.7,,2019-2020_manoloreina
3,3,6,3,66.7,0,0,1,0,0,1,1,0,0,,2019-2020_fabricio
2,2,5,3,60,0,1,0,0,0,0,0,0,,,2019-2020_miquelparera
58,1.62,160,103,67.5,4,9,23,4,11.1,7,6,1,14.3,,2019-2020_diegolopez
0,0,3,3,100,1,1,0,2,100,0,0,0,,,2019-2020_oierolazabal
18,0.86,66,49,72.7,17,2,2,11,52.4,0,0,0,,,2019-2020_keylornavas
2,0.67,3,1,33.3,2,0,1,2,66.7,0,0,0,,,2019-2020_alphonseareola
4,2,10,6,60,2,0,0,0,0,0,0,0,,,2019-2020_sergiorico
0,0,2,2,100,1,0,0,1,100,0,0,0,,,2019-2020_marcinbuka
27,1.02,92,67,75,15,8,4,11,40.7,4,4,0,0,,2019-2020_stevemandanda
2,1.21,7,4,71.4,1,0,0,0,0,1,0,1,100,,2019-2020_yohannpele
19,0.79,79,60,79.7,13,5,6,9,37.5,4,3,1,25,,2019-2020_edouardmendy
5,1.25,19,13,73.7,2,0,2,1,25,1,0,1,100,,2019-2020_romainsalin
27,0.96,83,58,72.3,15,4,9,12,42.9,6,4,1,20,,2019-2020_mikemaignan
36,1.38,130,95,75.4,9,8,9,4,15.4,6,4,1,20,,2019-2020_walterbenitez
2,1,7,5,85.7,2,0,0,0,0,1,1,0,0,,2019-2020_yannisclementia
18,0.67,87,65,80.5,10,11,6,12,44.4,5,1,4,80,,2019-2020_predragrajkovic
3,3,4,1,50,0,0,1,0,0,1,1,0,0,,2019-2020_nicolaslemaitre
25,0.96,86,64,73.3,10,7,9,8,30.8,3,2,0,0,,2019-2020_anthonylopes
2,1,11,9,81.8,1,0,1,1,50,0,0,0,,,2019-2020_cipriantatarusanu
27,1.08,119,91,79.8,11,7,7,8,32,5,3,2,40,,2019-2020_geronimorulli
3,1.38,5,2,40,0,0,3,0,0,0,0,0,,,2019-2020_dimitrybertaud
4,5.07,8,5,50,0,0,0,0,,0,0,0,,,2019-2020_matiscarvalho
44,1.57,134,91,71.6,11,7,10,7,25,6,6,0,0,,2019-2020_benjaminlecomte
32,1.19,104,71,75,11,5,11,8,29.6,7,6,1,14.3,,2019-2020_matzsels
32,1.23,83,51,65.1,10,6,10,11,42.3,3,3,0,0,,2019-2020_ludovicbutelle
1,0.5,7,6,85.7,1,0,1,1,50,0,0,0,,,2019-2020_danijelpetkovic
34,1.21,108,74,70.4,9,10,9,6,21.4,3,2,1,33.3,,2019-2020_benoitcostil
29,1.07,95,64,72.6,11,4,12,10,37,6,3,2,40,,2019-2020_albanlafont
2,2,6,4,66.7,0,0,1,0,0,0,0,0,,,2019-2020_denispetric
34,1.28,132,96,76.5,7,10,10,7,25.9,5,3,2,40,,2019-2020_gautierlarsonneur
3,2.21,11,8,81.8,1,0,0,1,100,1,1,0,0,,2019-2020_donovanleon
31,1.17,129,98,78.3,8,10,9,8,29.6,3,3,0,0,,2019-2020_alexandreoukidja
4,2.67,6,2,50,0,0,1,0,0,1,1,0,0,,2019-2020_pauldelecroix
20,1.11,81,62,76.5,6,7,6,6,31.6,1,1,0,0,,2019-2020_alfredgomis
17,1.7,47,31,63.8,1,2,6,0,0,0,0,0,,,2019-2020_runaralexrunarsson
40,1.82,100,60,63,6,4,12,3,13.6,4,3,0,0,,2019-2020_stephaneruffier
4,0.8,23,19,91.3,2,2,1,2,40,2,2,0,0,,2019-2020_jessymoulin
1,1,2,1,50,0,0,1,0,0,0,0,0,,,2019-2020_stefanbajic
38,1.55,108,71,68.5,7,4,14,6,24,4,4,0,0,,2019-2020_paulbernardoni
6,1.71,19,13,68.4,0,2,1,1,33.3,0,0,0,,,2019-2020_lucasdias
50,1.79,142,93,65.5,4,11,13,5,17.9,1,1,0,0,,2019-2020_regisgurtner
49,2.17,118,68,61,3,3,16,2,9.1,5,3,2,40,,2019-2020_baptistereynet
4,1.18,15,11,73.3,0,1,3,1,25,0,0,0,,,2019-2020_lovrekalinic
5,2.5,13,8,61.5,0,0,2,0,0,0,0,0,,,2019-2020_maurogoicoechea
33,1.15,129,95,80.6,19,4,6,11,37.9,10,8,1,11.1,,2019-2020_wojciechszczesny
10,1.11,33,23,72.7,7,1,1,1,11.1,2,1,0,0,,2019-2020_gianluigibuffon
0,0,0,0,,0,0,0,0,,0,0,0,,,2019-2020_carlopinsoglio
32,0.91,110,78,72.7,22,10,3,13,37.1,3,2,1,33.3,,2019-2020_samirhandanovic
4,1.33,8,4,62.5,2,0,1,1,25,1,1,0,0,,2019-2020_danielepadelli
42,1.31,120,81,70,19,9,5,8,24.2,6,6,0,0,,2019-2020_pierluigigollini
5,0.86,18,13,72.2,4,0,1,2,40,0,0,0,,,2019-2020_marcosportiello
1,8.18,1,0,0,0,0,0,0,,0,0,0,,,2019-2020_francescorossi
42,1.11,154,112,77.3,24,6,8,11,28.9,9,7,1,12.5,,2019-2020_thomasstrakosha
45,1.41,132,86,72,18,6,8,5,15.6,9,8,1,11.1,,2019-2020_paulopez
5,1,24,19,83.3,2,1,2,2,40,1,1,0,0,,2019-2020_antoniomirante
1,1,2,1,50,1,0,0,0,0,0,0,0,,,2019-2020_danielfuzato
42,1.18,141,96,73,18,9,9,12,33.3,8,4,4,50,,2019-2020_gianluigidonnarumma
3,2.09,7,4,71.4,0,0,1,0,0,1,1,0,0,,2019-2020_asmirbegovic
1,1,6,4,83.3,1,0,0,0,0,1,0,1,100,,2019-2020_pepereina
33,1.52,84,51,66.7,9,5,7,3,14.3,6,5,1,16.7,,2019-2020_alexmeret
17,1.04,54,37,72.2,9,3,5,4,23.5,2,2,0,0,,2019-2020_davidospina
55,1.77,145,92,66.9,12,5,14,5,16.1,8,7,1,12.5,,2019-2020_andreaconsigli
4,0.8,27,24,85.2,2,2,1,2,40,0,0,0,,,2019-2020_gianlucapegolo
4,2,12,8,75,0,2,0,0,0,1,1,0,0,,2019-2020_stefanoturati
43,1.23,159,117,77.4,11,13,11,9,25.7,7,7,0,0,,2019-2020_marcosilvestri
8,2.67,15,7,60,1,0,2,1,33.3,2,2,0,0,,2019-2020_borisradunovic
43,1.39,139,94,73.4,7,12,12,8,25.8,8,6,2,25,,2019-2020_bartomiejdragowski
5,0.72,23,18,91.3,5,1,1,2,28.6,3,3,0,0,,2019-2020_pietroterracciano
0,0,0,0,,0,0,0,1,,0,0,0,,,2019-2020_federicobrancolini
53,1.56,193,137,75.6,13,6,15,5,14.7,9,6,3,33.3,,2019-2020_luigisepe
4,1,19,15,84.2,1,1,2,1,25,2,1,0,0,,2019-2020_simonecolombi
64,1.73,187,123,69,12,10,15,2,5.4,8,6,1,14.3,,2019-2020_ukaszskorupski
1,1,2,1,50,0,1,0,0,0,0,0,0,,,2019-2020_angelodacostajunior
51,1.34,194,141,77.8,12,9,17,14,36.8,10,8,2,20,,2019-2020_juanmusso
24,1.42,89,67,77.5,8,5,4,4,23.5,4,4,0,0,,2019-2020_robinolsen
21,1.31,89,68,77.5,2,6,8,3,18.8,2,1,1,50,,2019-2020_alessiocragno
11,2.18,17,6,47.1,1,1,3,0,0,3,2,0,0,,2019-2020_rafael
60,1.67,165,109,67.9,12,5,19,9,25,8,7,0,0,,2019-2020_emilaudero
5,2.5,13,8,69.2,0,1,1,0,0,1,1,0,0,,2019-2020_wladimirofalcone
64,1.78,197,135,72.1,11,6,19,7,19.4,10,9,1,10,,2019-2020_salvatoresirigu
1,1,5,4,80,0,1,0,0,0,0,0,0,,,2019-2020_antoniorosati
3,3,6,3,66.7,0,0,1,0,0,1,1,0,0,,2019-2020_samirujkani
38,1.81,103,66,64.1,8,4,9,5,23.8,2,1,0,0,,2019-2020_mattiaperin
35,2.06,98,64,70.4,2,5,10,2,11.8,7,6,0,0,,2019-2020_ionutradu
76,2.28,227,152,70.9,6,8,20,2,5.9,12,10,2,16.7,,2019-2020_gabriel
9,1.91,29,20,72.4,3,0,1,1,25,1,1,0,0,,2019-2020_maurovigorito
59,2.03,181,124,72.4,5,6,18,5,17.2,10,9,1,10,,2019-2020_jessejoronen
16,2.71,44,28,63.6,0,1,4,0,0,1,0,0,,,2019-2020_lorenzoandrenacci
4,1.29,11,7,63.6,1,0,3,1,25,0,0,0,,,2019-2020_enricoalfonso
44,1.69,147,105,74.1,5,3,18,3,11.5,6,6,0,0,,2019-2020_etritberisha
29,2.9,65,36,55.4,0,1,9,0,0,1,0,1,100,,2019-2020_karloletica
4,2,16,12,81.3,0,1,1,0,0,1,1,0,0,,2019-2020_dembathiam
21,0.87,72,51,73.6,18,2,4,8,33.3,2,2,0,0,,2019-2020_andreonana
2,2,5,3,60,0,0,1,0,0,0,0,0,,,2019-2020_brunovarela
11,0.48,68,57,85.3,18,2,4,17,70.8,2,1,0,0,,2019-2020_marcobizot
6,3.14,12,6,58.3,0,0,1,0,0,1,1,0,0,,2019-2020_rodydeboer
27,1.69,72,46,63.9,7,6,3,2,12.5,2,1,1,50,,2019-2020_kennethvermeer
8,1.14,24,16,75,6,1,0,2,28.6,2,2,0,0,,2019-2020_justinbijlow
0,0,11,10,100,1,1,0,2,100,1,0,1,100,,2019-2020_nickmarsman
13,0.93,54,41,81.5,7,4,3,4,28.6,3,3,0,0,,2019-2020_larsunnerstall
14,1.27,38,24,63.2,6,3,2,3,27.3,0,0,0,,,2019-2020_jeroenzoet
1,1,3,2,66.7,1,0,0,0,0,0,0,0,,,2019-2020_robbinruiter
34,1.36,125,92,76,12,5,8,6,24,4,4,0,0,,2019-2020_timonwellenreuther
0,0,1,1,100,1,0,0,1,100,0,0,0,,,2019-2020_michaelwoud
25,1.39,77,51,70.1,9,2,7,4,22.2,3,2,1,33.3,,2019-2020_maartenpaes
9,1.29,25,15,68,3,3,1,1,14.3,2,1,1,50,,2019-2020_jeroenzoet
35,1.35,122,86,77.9,12,5,9,8,30.8,9,8,1,11.1,,2019-2020_remkopasveer
34,1.31,120,84,74.2,10,6,10,7,26.9,5,3,2,40,,2019-2020_janisblaswich
26,1,88,60,73.9,10,5,11,9,34.6,6,3,2,40,,2019-2020_sergiopadt
27,1.35,95,67,74.7,7,7,6,4,20,4,3,1,25,,2019-2020_warnerhahn
14,2.33,29,17,62.1,1,2,3,0,0,3,3,0,0,,2019-2020_filipbednarek
27,1.69,68,41,66.2,5,3,8,4,25,4,4,0,0,,2019-2020_arielharush
17,1.7,46,29,67.4,4,3,3,2,20,2,2,0,0,,2019-2020_timcoremans
45,1.73,130,87,67.7,9,5,12,7,26.9,3,3,0,0,,2019-2020_dennistelgenkamp
51,1.96,149,97,68.5,8,4,14,4,15.4,5,4,1,20,,2019-2020_thorstenkirschbaum
42,1.74,140,99,70,6,6,13,5,20,2,0,1,100,,2019-2020_joeldrommel
4,2.26,14,10,71.4,1,0,0,0,0,0,0,0,,,2019-2020_jornbrondeel
32,2.46,92,61,67.4,3,1,9,0,0,2,2,0,0,,2019-2020_xaviermous
23,1.77,77,53,74,4,4,5,3,23.1,4,3,1,25,,2019-2020_michaelzetterer
52,2,148,97,70.9,6,8,12,6,23.1,9,9,0,0,,2019-2020_alexeikoselev
42,2.1,116,75,66.4,2,7,11,5,25,3,3,0,0,,2019-2020_luukkoopmans
9,1.8,27,20,66.7,2,0,3,2,40,0,0,0,,,2019-2020_robertzwinkels
3,3,9,6,88.9,0,0,1,0,0,2,2,0,0,,2019-2020_mikehavekotte
53,2.26,131,79,61.8,4,2,18,4,16.7,4,3,0,0,,2019-2020_etiennevaessen
7,2.76,16,9,62.5,0,1,1,0,0,1,1,0,0,,2019-2020_keesheemskerk
19,0.61,66,47,72.7,24,4,3,18,58.1,2,1,0,0,,2019-2020_agustinmarchesin
3,1.06,10,7,70,2,0,1,1,33.3,0,0,0,,,2019-2020_diogocosta
0,0,1,1,100,0,0,0,0,,0,0,0,,,2019-2020_mouhamedmbaye
26,0.79,100,76,77,23,5,5,16,48.5,3,3,0,0,,2019-2020_odisseasvlachodimos
0,0,2,2,100,1,0,0,1,100,0,0,0,,,2019-2020_milesvilar
37,1.28,113,77,72.6,16,5,8,6,20.7,8,6,1,14.3,,2019-2020_matheus
2,0.5,10,8,80,2,1,1,2,50,0,0,0,,,2019-2020_eduardocarvalho
1,1,1,0,0,0,0,1,0,0,0,0,0,,,2019-2020_tiagosa
22,0.96,70,48,71.4,12,4,7,10,43.5,2,2,0,0,,2019-2020_luismaximiano
12,1.09,41,30,80.5,6,2,3,2,18.2,4,4,0,0,,2019-2020_renanribeiro
36,1.06,121,85,72.7,15,10,9,11,32.4,3,3,0,0,,2019-2020_pawekieszek
33,1.94,89,56,65.2,9,4,5,3,16.7,3,2,0,0,,2019-2020_rafaeldefendi
18,1.06,49,31,69.4,5,8,3,4,25,3,3,0,0,,2019-2020_vana
30,1.03,85,55,65.9,11,10,8,10,34.5,4,1,2,66.7,,2019-2020_douglas
8,1.6,22,14,63.6,2,1,2,1,16.7,0,0,0,,,2019-2020_joaomiguelmacedosilva
43,1.3,150,108,77.3,10,12,11,8,24.2,14,9,1,10,,2019-2020_mateuspasinato
1,1,2,1,50,0,1,0,0,0,0,0,0,,,2019-2020_pedrotrigueira
37,1.19,123,85,73.2,10,8,13,9,29,7,4,2,33.3,,2019-2020_marcoandrerochapereira
4,1.34,13,9,84.6,1,2,0,0,0,2,2,0,0,,2019-2020_andreferreira
0,0,0,0,,0,0,0,1,,0,0,0,,,2019-2020_rodolfofurtado
44,1.29,119,76,65.5,11,10,13,8,23.5,5,3,2,40,,2019-2020_denis
26,1.04,98,72,75.5,7,10,8,10,40,3,2,1,33.3,,2019-2020_amirabedzadeh
16,1.78,38,21,65.8,2,2,5,1,11.1,4,3,1,25,,2019-2020_charles
27,1.29,96,70,76,6,3,12,5,23.8,4,4,0,0,,2019-2020_heltonleite
12,0.92,41,30,75.6,4,6,3,4,30.8,2,2,0,0,,2019-2020_rafaelbracalli
47,1.52,123,76,68.3,11,4,16,6,19.4,9,8,1,11.1,,2019-2020_ricardoribeiro
2,1,4,2,50,0,1,1,0,0,0,0,0,,,2019-2020_simaobertelli
3,3.03,5,2,40,,1,,,,,,,,,2019-2020_marcoaurelioribeirosousa
0,0,0,0,,0,0,0,0,,0,0,0,,,2019-2020_joseoliveira
36,1.24,124,89,72.6,7,9,13,9,31,2,2,0,0,,2019-2020_claudioramos
8,1.6,17,9,58.8,2,0,3,1,20,1,1,0,0,,2019-2020_babacarniasse
32,1.66,107,75,73.8,5,5,10,5,25,4,4,0,0,,2019-2020_hervekoffi
22,1.5,59,38,64.4,4,3,7,4,28.6,1,1,0,0,,2019-2020_andremoreira
37,1.18,134,95,75.4,7,13,12,13,40.6,7,4,2,33.3,,2019-2020_giorgimakaridze
3,1.99,10,7,70,0,0,1,0,0,1,0,0,,,2019-2020_lucaspaes
3,3,5,3,60,0,0,1,0,0,1,1,0,0,,2019-2020_miltonraphael
27,1.35,70,43,64.3,3,8,9,4,20,3,2,1,33.3,,2019-2020_ricardoabelbarbosaferreira
18,1.29,56,39,71.4,4,4,6,3,21.4,2,2,0,0,,2019-2020_shuichigonda
42,2,91,51,64.8,4,1,16,2,9.5,10,10,0,0,,2019-2020_quentinbeunardeau
10,1.67,30,20,66.7,0,1,5,1,16.7,1,0,1,100,,2019-2020_fabioszymonek
10,2,24,13,58.3,1,0,4,1,20,1,0,1,100,,2019-2020_raphaelaflalo
6,3,16,10,68.8,0,0,2,0,0,1,1,0,0,,2019-2020_dimitarsheytanov
28,0.78,93,65,77.4,25,5,6,19,52.8,8,7,1,12.5,,2020-2021_ederson
3,3,5,1,60,1,0,0,0,0,2,1,1,50,,2020-2021_scottcarson
1,1,2,1,50,1,0,0,0,0,0,0,0,,,2020-2021_zacksteffen
32,1.25,90,59,68.9,12,9,5,9,34.6,4,4,0,0,,2020-2021_daviddegea
12,0.96,51,39,76.5,9,2,1,4,33.3,0,0,0,,,2020-2021_deanhenderson
32,0.97,115,82,75.7,18,8,7,10,30.3,8,4,1,20,,2020-2021_alisson
9,3,18,9,50,1,1,1,1,33.3,0,0,0,,,2020-2021_adrian
1,0.5,7,6,85.7,1,0,1,1,50,0,0,0,,,2020-2021_caoimhinkelleher
25,0.82,81,56,71.6,17,7,7,16,51.6,3,2,1,33.3,,2020-2021_edouardmendy
8,1.23,23,15,69.6,2,2,2,2,33.3,1,1,0,0,,2020-2021_kepaarrizabalaga
3,3,3,0,0,0,1,0,0,0,0,0,0,,,2020-2021_willycaballero
50,1.32,136,88,66.2,20,6,12,11,28.9,4,4,0,0,,2020-2021_kasperschmeichel
44,1.26,138,97,70.3,17,8,10,10,28.6,5,3,1,25,,2020-2021_ukaszfabianski
3,1,9,6,66.7,2,0,1,1,33.3,0,0,0,,,2020-2021_darrenrandolph
45,1.18,155,113,77.4,18,8,12,12,31.6,10,10,0,0,,2020-2021_hugolloris
37,1.06,117,83,69.2,17,6,12,11,31.4,2,1,1,50,,2020-2021_berndleno
2,0.67,10,8,90,1,1,1,1,33.3,1,1,0,0,,2020-2021_mathewryan
0,0,2,2,100,0,0,0,0,,0,0,0,,,2020-2021_runaralexrunarsson
52,1.49,188,137,76.6,16,5,14,11,31.4,9,8,1,11.1,,2020-2021_illanmeslier
2,0.67,10,8,80,2,0,1,1,33.3,0,0,0,,,2020-2021_kikocasilla
39,1.28,128,90,71.1,15,5,11,10,32.3,3,2,0,0,,2020-2021_jordanpickford
9,1.29,30,21,73.3,2,3,2,2,28.6,1,1,0,0,,2020-2021_robinolsen
0,0,3,3,100,0,0,0,0,,0,0,0,,,2020-2021_joaovirginia
46,1.21,186,133,78,16,7,15,15,39.5,6,5,1,16.7,,2020-2021_emilianomartinez
43,1.72,126,84,68.3,7,4,14,4,16,4,3,1,25,,2020-2021_karldarlow
19,1.46,62,44,71,5,5,3,3,23.1,1,1,0,0,,2020-2021_martindubravka
51,1.38,148,99,70.3,12,9,16,10,27,8,7,1,12.5,,2020-2021_ruipatricio
1,0.99,4,3,75,0,0,1,0,0,0,0,0,,,2020-2021_johnruddy
64,1.73,169,104,63.9,11,8,18,8,21.6,4,3,1,25,,2020-2021_vicenteguaita
2,2,5,3,60,1,0,0,0,0,0,0,0,,,2020-2021_jackbutland
57,1.9,147,91,65.3,8,7,15,7,23.3,6,6,0,0,,2020-2021_alexmccarthy
11,1.37,31,19,71,4,0,4,2,25,3,2,1,33.3,,2020-2021_fraserforster
27,1,91,65,72.5,7,10,10,10,37,3,2,0,0,,2020-2021_robertsanchez
19,1.73,34,16,55.9,2,4,5,2,18.2,4,4,0,0,,2020-2021_mathewryan
37,1.16,149,113,77.2,10,9,13,11,34.4,3,3,0,0,,2020-2021_nickpope
14,3.5,24,10,41.7,0,0,4,0,0,0,0,0,,,2020-2021_baileypeacock-farrell
4,2,6,2,33.3,0,0,2,0,0,0,0,0,,,2020-2021_willnorris
48,1.33,161,114,73.9,5,13,18,9,25,6,6,0,0,,2020-2021_alphonseareola
5,2.5,9,4,55.6,0,0,2,0,0,1,1,0,0,,2020-2021_marekrodak
74,2,234,162,71.4,4,11,22,6,16.2,11,7,1,12.5,,2020-2021_samjohnstone
2,2,6,4,66.7,1,0,0,0,0,0,0,0,,,2020-2021_davidbutton
63,1.66,206,145,70.9,7,2,29,5,13.2,4,3,0,0,,2020-2021_aaronramsdale
42,1.27,123,80,66.7,24,5,4,9,27.3,3,1,1,50,,2020-2021_manuelneuer
2,2,4,2,50,0,1,0,0,0,0,0,0,,,2020-2021_alexandernubel
30,0.91,80,50,66.3,19,8,6,15,45.5,3,3,0,0,,2020-2021_petergulacsi
2,2,4,2,50,0,0,1,0,0,0,0,0,,,2020-2021_josepmartinez
30,1.62,92,62,71.7,9,2,7,4,22.2,4,4,0,0,,2020-2021_romanburki
