Year,Country,Int Matches Played,Int Starts,Int Min,Int 90s,Int Goals,Int Assists,Int Goals + Assists ,Int Non Penalty Goals,Int Penalty Goals,Int Penaltes Attempted,Int Yellow Cards,Int Red Cards,Int Goals Per 90,Int Assists Per 90,Int Goals + Assits Per 90,Int Non Penalty Goals Per 90,Int Non Penalty Goals + Assits Per 90,Key
2018,albania ,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_thomasstrakosha
2018,albania ,3,3,262,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_freddieveseli
2018,albania ,4,2,236,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_bekimbalaj
2018,albania ,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018_erosgrezda
2018,albania ,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_myrtouzuni
2018,albania ,2,2,135,1.5,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018_migjenbasha
2018,albania ,3,2,118,1.3,0,0,0,0,0,0,0,1,0,0,0,0,0,2017-2018_mergimmavraj
2018,albania ,2,2,115,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_enisgavazaj
2018,albania ,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_sabienlilaj
2018,albania ,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_etritberisha
2018,albania ,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_jahmirhyka
2018,albania ,2,1,86,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018_reymanaj
2018,albania ,1,1,65,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018_emanuelendoj
2018,albania ,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_sindriguri
2018,albania ,1,1,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_ergyskace
2018,albania ,2,0,65,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018_herdiprenga
2018,albania ,1,0,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_ardianismajli
2018,albania ,1,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_kastriotdermaku
2018,albania ,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_giacomovrioni
2018,albania ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_eneamihaj
2018,albania ,0,0,,,,,,,,,,,,,,,,2017-2018_albionademi
2018,albania ,0,0,,,,,,,,,,,,,,,,2017-2018_ansiagolli
2018,albania ,0,0,,,,,,,,,,,,,,,,2017-2018_bujarlika
2018,albania ,0,0,,,,,,,,,,,,,,,,2017-2018_besirdemiri
2018,albania ,0,0,,,,,,,,,,,,,,,,2017-2018_albanhoxha
2018,albania ,0,0,,,,,,,,,,,,,,,,2017-2018_eglikaja
2018,albania ,0,0,,,,,,,,,,,,,,,,2017-2018_elhankastrati
2018,albania ,0,0,,,,,,,,,,,,,,,,2017-2018_ermirlenjani
2018,albania ,0,0,,,,,,,,,,,,,,,,2017-2018_andilila
2019,albania ,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018-2019_ramencepele
2019,albania ,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018-2019_albidoka
2019,albania ,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019_ardianismajli
