Passes_Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Completed,Offside_pass,Blocked,Key
536,525,6,5,2,1,8,1,0,375,5,18,2017-2018_leandrobarreiromartins
184,184,0,0,1,1,8,0,0,129,0,11,2017-2018_anderbarrenetxea
783,574,209,23,0,3,54,169,17,541,0,33,2017-2018_jacobbarrettlaursen
923,821,99,26,7,15,112,10,59,698,3,15,2017-2018_musabarrow
111,90,20,3,0,0,7,17,0,85,1,5,2017-2018_abdourahmanebarry
1131,1089,34,32,2,23,0,2,0,926,8,5,2017-2018_marcbartra
89,82,7,3,0,0,5,0,2,64,0,1,2017-2018_danielebaselli
151,131,20,9,1,0,17,1,10,110,0,3,2017-2018_danielebaselli
451,436,14,6,0,1,15,0,0,386,1,5,2017-2018_tomabasic
95,84,11,2,1,0,18,0,9,67,0,2,2017-2018_tomabasic
117,99,18,8,0,1,16,1,9,85,0,4,2017-2018_aminebassi
53,52,1,0,0,0,0,0,0,41,0,2,2017-2018_alvarobastida
1810,1684,120,58,2,29,29,30,2,1599,6,25,2017-2018_alessandrobastoni
1224,1015,201,55,8,13,113,108,38,876,8,37,2017-2018_simonebastoni
Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks,2017-2018_player
61,60,1,0,0,1,0,0,0,45,0,3,2017-2018_lewisbate
515,483,29,27,0,3,1,1,0,427,3,9,2017-2018_rodrigobattaglia
897,849,45,42,0,3,1,2,0,723,3,8,2017-2018_maximilianbauer
1523,1232,286,70,0,2,0,0,0,1225,5,2,2017-2018_oliverbaumann
1205,1134,66,57,0,10,10,4,0,950,5,8,2017-2018_timobaumgartl
70,68,2,1,0,0,1,0,0,62,0,0,2017-2018_julianbaumgartlinger
729,695,32,6,4,4,35,23,2,514,2,18,2017-2018_christophbaumgartner
7,5,2,0,0,0,0,0,0,6,0,0,2017-2018_jonbautista
4,4,0,0,0,0,0,0,0,2,0,0,2017-2018_paulbaysse
51,48,3,0,0,0,10,3,0,30,0,6,2017-2018_noahjoelsarenrenbazee
332,289,42,17,2,5,87,4,20,208,1,14,2017-2018_bebe
629,561,65,1,0,1,49,58,0,431,3,31,2017-2018_ihlasbebou
1428,1270,157,49,1,3,17,105,0,1117,1,16,2017-2018_rodrigobecao
514,435,78,6,0,0,10,72,0,393,1,9,2017-2018_madsbechsrensen
605,597,6,1,3,2,123,2,1,374,2,28,2017-2018_sheraldobecker
1490,1399,90,45,0,6,1,43,0,1201,1,5,2017-2018_janbednarek
34,33,0,0,1,0,0,0,0,26,1,2,2017-2018_donnyvandebeek
250,240,9,1,1,1,6,1,1,206,1,4,2017-2018_donnyvandebeek
85,46,39,8,0,0,0,0,0,39,0,1,2017-2018_asmirbegovic
66,63,3,1,1,0,2,2,0,44,0,3,2017-2018_valonbehrami
195,194,0,0,0,0,2,0,0,125,1,3,2017-2018_kevinbehrens
390,327,60,19,4,4,50,10,31,271,3,14,2017-2018_youcefbelaili
575,329,245,63,0,0,0,0,0,367,1,1,2017-2018_vidbelec
471,432,36,1,1,0,12,2,0,327,3,16,2017-2018_ishakbelfodil
986,949,35,17,0,9,11,6,0,826,2,17,2017-2018_harisbelkebla
Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks,2017-2018_player
1545,1495,45,39,0,4,16,6,0,1180,5,21,2017-2018_stefanbell
739,719,18,10,0,9,2,8,0,565,2,4,2017-2018_armelbellakotchap
933,837,95,4,0,6,96,91,0,667,1,29,2017-2018_raoulbellanova
268,257,11,0,2,1,25,8,3,200,0,10,2017-2018_karimbellarabi
1073,1021,46,20,5,7,54,1,25,876,6,22,2017-2018_jean-ricnerbellegarde
1048,845,200,18,1,4,42,182,0,804,3,27,2017-2018_hectorbellerin
1517,1475,33,23,12,18,14,9,1,1256,9,25,2017-2018_judebellingham
171,134,37,0,1,0,11,35,2,130,0,0,2017-2018_georgebello
10,10,0,0,0,0,0,0,0,8,0,0,2017-2018_jeanuelbelocian
369,341,25,2,2,4,13,1,0,252,3,17,2017-2018_andreabelotti
