Season,home_team,away_team,home_score,away_score,result,Cmp,Int 90s,Carries,ProgressivegDist,LP_Cmp,Goals,Att,SCA90,Recievd ,Tackles_Won,Int Min,PenaltiesAttemped,LP_Att,PKatt_y,PrgDist,DribbleTkld,SCA,DribbleSucc,Int Goals,MP_Att,GoalsandAssists,ProgressiveReceive,TotDist_y,GA,Int Goals Per 90,Tackles_mid_3rd,Int Starts,NonPenaltyGoals,TouchesLive,Touches,Sh/90,Total_Tackles,PenaltyGoals,TouchesDef 3rd,DribblesAtt,TouchesAtt 3rd,MP_Cmp,Int Non Penalty Goals,SoTA,Int Non Penalty Goals Per 90,SP_Cmp,original_Season,original_home_team,original_away_team
0,16,13,2.0,0.0,Georgia,,-2.0,,,,2.0,,,,,-180.0,0.0,,0.0,,,,,0.0,,3.0,,,,0.0,,-2.0,2.0,,,-0.06,,0.0,,,,,0.0,,0.0,,2017-2018,Georgia,Estonia
0,18,31,0.0,1.0,Scotland,-881.0,-0.5999999999999996,-759.25,-2393.25,230.0,1.5,-1146.75,-0.815,-903.0,-8.833333333333336,-55.5,0.0,485.0,0.0,12535.0,-1.5,-37.0,-9.5,4.0,-437.25,0.0,-18.0,-4369.75,,0.7900000000000001,-1.916666666666666,-0.5,1.5,-1324.75,-1324.75,1.275,-11.333333333333329,0.0,794.0,-11.0,-261.0,-347.5,4.0,,0.7900000000000001,-463.5,2017-2018,Hungary,Scotland
0,23,3,0.0,4.0,Austria,-286.42857142857144,5.91875,-157.3571428571429,-770.7857142857144,49.0,-11.0,-351.0238095238095,-0.9469999999999998,-231.7619047619048,-30.333333333333336,536.1875,0.0,77.0,0.0,1909.0,-47.7,-45.2,-19.2,-1.0,-140.21428571428572,-15.0,-161.7,-1132.3571428571431,,-0.32,-18.75,6.1875,-11.0,-408.8809523809524,-408.8809523809524,-1.71,-40.25,0.0,131.0,-67.4,-357.0,-114.66666666666664,-1.0,,-0.32,-141.28571428571428,2017-2018,Luxembourg,Austria
0,29,36,1.0,0.0,Romania,-389.33333333333337,-0.8,-214.66666666666663,-773.3333333333333,7.0,6.0,-487.6666666666666,-2.666666666666666,-257.66666666666663,-5.666666666666668,-72.66666666666666,-0.3333333333333332,-6.0,-0.3333333333333332,-1098.333333333333,28.0,-6.0,9.0,-0.3333333333333333,-233.0,7.333333333333334,100.33333333333334,-1126.6666666666663,,-0.0766666666666666,-6.0,-0.6666666666666667,6.666666666666667,-529.6666666666667,-529.6666666666667,0.6900000000000004,-8.0,-1.0,-220.0,37.0,149.33333333333334,-176.33333333333331,-0.3333333333333333,,-0.0766666666666666,-221.66666666666669,2017-2018,Romania,Sweden
0,30,15,1.0,3.0,France,-1172.6666666666667,-0.6416666666666662,-800.0,-1881.333333333333,-264.5,-10.666666666666666,-1258.8333333333333,-1.3191666666666668,-897.8333333333333,-13.8,-61.08333333333337,-1.3333333333333333,-495.0,-1.3333333333333333,-14899.5,-17.04166666666667,-71.70833333333334,-42.66666666666666,2.666666666666667,-568.3333333333334,-16.33333333333333,-118.45833333333329,-3356.166666666667,,0.9633333333333334,-10.8,-1.083333333333334,-9.666666666666666,-1373.8333333333333,-1373.8333333333333,-1.043333333333333,-16.799999999999997,-1.0,-1013.5,-59.58333333333334,-389.83333333333326,-550.0,2.666666666666667,,0.9633333333333334,-481.83333333333337,2017-2018,Russia,France
0,34,4,0.0,2.0,Belarus,,6.35,,,,9.0,,,,,572.0,1.0,,1.0,,,,,0.0,,6.0,,,,0.0,,6.5,9.0,,,-1.76,,0.0,,,,,0.0,,0.0,,2017-2018,Slovenia,Belarus
0,0,21,0.0,3.0,Kosovo,1370.6666666666667,-2.333333333333334,938.6666666666669,2898.333333333333,309.0,-4.0,1570.3333333333333,-2.06,1076.3333333333333,16.0,-209.6666666666667,-2.0,567.5,-2.0,17405.0,-5.0,19.0,8.0,0.0,613.6666666666666,-10.333333333333334,-4.0,4719.666666666667,,0.0,12.0,-2.5,-3.0,1785.0,1785.0,1.29,26.0,-1.0,1065.5,3.0,153.0,552.3333333333334,0.0,,0.0,678.6666666666666,2017-2018,Albania,Kosovo
0,3,30,1.0,0.0,Austria,397.4285714285714,-0.4187499999999997,182.3571428571429,-53.21428571428555,-10.0,9.0,444.0238095238095,-0.5630000000000002,202.7619047619048,20.833333333333336,-36.1875,0.0,-18.0,0.0,-648.0,32.7,28.200000000000003,5.199999999999999,-3.0,194.2142857142857,12.0,100.7,149.35714285714312,,-0.8699999999999999,14.5,-0.1875,9.0,453.8809523809524,453.8809523809524,-0.69,25.0,0.0,-49.0,38.400000000000006,220.0,189.66666666666663,-3.0,,-0.8699999999999999,143.28571428571428,2017-2018,Austria,Russia
0,33,25,1.0,1.0,Draw,905.375,3.316666666666667,679.5,2786.875,79.0,-17.0,993.3333333333331,-0.8283333333333331,765.875,-1.625,298.6333333333333,-1.75,217.0,-1.75,4967.0,-27.083333333333336,-47.416666666666686,-17.5,0.25,426.2916666666666,-24.25,-105.75,4159.583333333334,-6.5,-0.0975,-1.875,3.283333333333333,-15.25,1143.5833333333337,1143.5833333333337,0.2224999999999999,-4.125,-1.75,333.0,-44.33333333333333,-265.75,399.9166666666667,0.25,-31.5,-0.0975,452.83333333333337,2017-2018,Slovakia,Netherlands
0,15,20,3.0,1.0,France,620.5833333333334,-3.8791666666666673,447.75,1122.625,125.5,2.38095238095238,652.7083333333333,0.956845238095238,499.4166666666665,8.466666666666665,-23.452380952380903,-0.3809523809523809,255.0,-0.3809523809523809,7348.5,11.470238095238102,28.779761904761912,28.523809523809515,-0.8095238095238095,292.20833333333337,4.047619047619042,2.279761904761841,1875.416666666667,22.0,-0.1547619047619048,4.355555555555558,-3.874999999999999,2.666666666666666,735.416666666667,735.3749999999995,0.7319047619047616,6.855555555555554,-0.2857142857142858,441.5,39.15476190476192,81.44047619047603,285.75,-0.6666666666666667,59.5,-0.1390476190476191,277.54166666666674,2017-2018,France,Italy
0,36,11,0.0,0.0,Draw,-318.16666666666663,-1.9875,-212.33333333333337,-216.66666666666677,-351.0,-4.4,-304.08333333333337,0.7504166666666663,-239.08333333333337,-49.83333333333333,-180.45833333333331,0.5333333333333332,-791.0,0.5333333333333332,-15239.666666666668,-15.25,-27.66666666666667,-12.625,0.1333333333333333,-222.0,-4.533333333333333,-76.70833333333334,-194.83333333333348,,0.0086666666666666,-39.5,-1.9583333333333333,-4.666666666666667,-419.83333333333326,-419.83333333333326,0.79,-68.0,0.6,-757.0,-27.875,-229.24999999999991,-232.16666666666669,0.1333333333333333,,0.0086666666666666,-15.083333333333314,2017-2018,Sweden,Denmark
0,5,28,0.0,0.0,Draw,613.8,0.79,398.2000000000001,1989.25,57.650000000000006,-4.25,605.8499999999999,0.0775000000000001,528.8,9.375,70.5,-0.5,10.5,-0.5,2757.0,18.375,22.0,25.5,-0.25,393.25,-2.25,-25.875,2536.05,,0.2275,7.25,0.6500000000000004,-3.75,637.75,637.75,-1.84,17.625,-0.5,203.5,43.875,-42.125,392.35,0.25,,0.3525,110.64999999999998,2017-2018,Belgium,Portugal
